"Концентрат коксующегося угля_HCC Австралия, $/t FOB",dt,Лом_среднее_доллар_т,Лом_3А_руб_т_без_НДС,ЖРС_среднее_руб_т_без_НДС,"Чугун_Россия, FCA руб./т, без НДС"
103,2015-03-02,230.0,12385.0,2324.6666666666665,21250
103,2015-03-09,237.4,12319.666666666666,2361.3333333333335,15250
102,2015-03-16,237.4,12259.0,2361.3333333333335,15250
101,2015-03-23,237.4,12139.0,2361.3333333333335,15250
98,2015-03-30,239.0,12059.0,2410.0,15250
95,2015-04-06,244.0,11933.0,2302.5,13250
92,2015-04-13,244.8,11733.333333333334,2302.5,13250
90,2015-04-20,249.8,11312.166666666666,2302.5,13250
88,2015-04-27,254.6,10906.0,2302.5,13250
86,2015-05-04,255.6,10578.333333333334,2207.3333333333335,13250
82,2015-05-11,262.6,10280.5,2036.5,12750
82,2015-05-18,267.4,10100.833333333334,2036.5,12750
81,2015-05-25,264.6,9794.0,1906.1666666666667,12750
82,2015-06-01,262.0,9701.166666666666,1856.0,12750
83,2015-06-08,260.4,9767.0,1916.0,13000
85,2015-06-15,262.0,9604.333333333334,1916.0,13000
87,2015-06-22,258.8,9643.166666666666,1916.0,13000
88,2015-06-29,247.6,9646.166666666666,1981.1666666666667,13000
87,2015-07-06,234.4,9736.333333333334,2042.8333333333333,13000
87,2015-07-13,226.4,9893.0,2042.8333333333333,13000
84,2015-07-20,210.4,9940.0,2042.8333333333333,13000
80,2015-07-27,211.4,9936.333333333334,2095.8333333333335,13000
79,2015-08-03,214.4,9958.166666666666,2012.5,13000
83,2015-08-10,218.4,9946.666666666666,2008.3333333333333,13000
83,2015-08-17,220.2,9954.833333333334,2008.3333333333333,13000
81,2015-08-24,216.4,9935.166666666666,2008.3333333333333,13000
81,2015-08-31,216.8,10002.5,1926.3333333333333,13000
81,2015-09-07,206.6,10137.166666666666,1968.0,14000
81,2015-09-14,193.4,10157.833333333334,1968.0,14000
81,2015-09-21,191.2,10148.5,1968.0,14000
80,2015-09-28,182.4,10186.833333333334,2021.5,14000
79,2015-10-05,176.0,10217.666666666666,2100.6666666666665,14000
80,2015-10-12,169.0,10212.833333333334,2100.6666666666665,14000
79,2015-10-19,163.8,10136.333333333334,2100.6666666666665,14000
78,2015-10-26,161.8,10117.166666666666,2185.6666666666665,14000
77,2015-11-02,169.6,9904.666666666666,2185.6666666666665,14000
76,2015-11-09,177.2,9706.333333333334,2185.6666666666665,11000
74,2015-11-16,182.0,9441.333333333334,2185.6666666666665,11000
73,2015-11-23,180.4,8984.833333333334,2185.6666666666665,11000
72,2015-11-30,178.2,8773.333333333334,2152.8333333333335,11000
74,2015-12-07,176.0,8727.5,2048.6666666666665,11000
75,2015-12-14,175.0,8687.166666666666,2048.6666666666665,11000
75,2015-12-21,173.8,8528.333333333334,2048.6666666666665,11000
76,2015-12-28,171.4,8537.166666666666,1955.0,11000
76,2016-01-04,172.4,8516.333333333334,1955.0,11000
77,2016-01-11,173.6,8489.166666666666,1859.1666666666667,11000
77,2016-01-18,173.2,8554.166666666666,1855.0,11000
75,2016-01-25,171.4,8601.166666666666,1855.0,11000
75,2016-02-01,168.0,8732.333333333334,1774.3333333333333,11000
74,2016-02-08,167.0,8844.0,1786.8333333333333,11700
73,2016-02-15,166.2,8973.166666666666,1786.8333333333333,11700
74,2016-02-22,167.6,9029.0,1786.8333333333333,11700
76,2016-02-29,176.8,9010.666666666666,1813.5,11700
79,2016-03-07,185.0,9092.166666666666,1892.6666666666667,12300
79,2016-03-14,200.6,9281.666666666666,1892.6666666666667,12300
80,2016-03-21,210.0,9494.333333333334,1892.6666666666667,12300
80,2016-03-28,217.8,9642.833333333334,1958.0,12300
82,2016-04-04,226.4,9664.333333333334,1958.0,12300
86,2016-04-11,241.6,9868.166666666666,2123.8333333333335,14200
90,2016-04-18,255.2,9873.166666666666,2123.8333333333335,14200
94,2016-04-25,273.4,10099.5,2123.8333333333335,14200
97,2016-05-02,286.6,10451.5,2296.5,14200
96,2016-05-09,308.8,10773.333333333334,2284.0,19500
94,2016-05-16,292.0,11645.666666666666,2284.0,19500
91,2016-05-23,282.2,11685.166666666666,2284.0,19500
86,2016-05-30,257.2,11922.666666666666,2273.6666666666665,19500
87,2016-06-06,237.0,12130.5,2307.0,17750
90,2016-06-13,217.6,12060.166666666666,2307.0,17750
91,2016-06-20,216.0,11941.833333333334,2307.0,17750
91,2016-06-27,216.2,11745.0,2341.0,17750
91,2016-07-04,210.6,10952.0,2341.0,17750
92,2016-07-11,205.6,10691.5,2236.8333333333335,15900
96,2016-07-18,207.4,10543.0,2236.8333333333335,15900
97,2016-07-25,213.8,10441.666666666666,2236.8333333333335,15900
100,2016-08-01,217.2,10321.166666666666,2068.8333333333335,15900
103,2016-08-08,217.4,10421.0,2095.5,14750
106,2016-08-15,216.6,10581.166666666666,2095.5,14750
114,2016-08-22,214.8,10688.166666666666,2095.5,14750
124,2016-08-29,215.6,10993.166666666666,2177.1666666666665,14750
139,2016-09-05,214.8,11162.5,2277.1666666666665,14750
166,2016-09-12,213.0,11421.0,2277.1666666666665,14750
199,2016-09-19,212.4,11595.666666666666,2277.1666666666665,14750
206,2016-09-26,208.2,11667.5,2345.3333333333335,14750
209,2016-10-03,201.2,11729.333333333334,2345.3333333333335,14750
211,2016-10-10,205.6,12419.666666666666,2317.8333333333335,13400
222,2016-10-17,210.2,12385.333333333334,2317.8333333333335,13400
239,2016-10-24,218.8,12401.0,2317.8333333333335,13400
250,2016-10-31,222.2,12218.5,2305.5,13400
265,2016-11-07,235.2,12210.166666666666,2291.3333333333335,13900
302,2016-11-14,254.4,12173.166666666666,2291.3333333333335,13900
306,2016-11-21,260.4,12377.166666666666,2291.3333333333335,13900
304,2016-11-28,258.0,12729.666666666666,2228.5,13900
301,2016-12-05,255.8,13156.666666666666,2570.1666666666665,16800
289,2016-12-12,254.2,13714.666666666666,2570.1666666666665,16800
254,2016-12-19,268.0,14553.666666666666,2570.1666666666665,16800
245,2016-12-26,276.4,14899.833333333334,2760.1666666666665,16800
228,2017-01-02,276.4,15032.0,2760.1666666666665,16800
210,2017-01-09,276.4,14936.166666666666,3031.0,20850
188,2017-01-16,273.0,15061.666666666666,3031.0,20850
176,2017-01-23,266.8,14940.833333333334,3031.0,20850
173,2017-01-30,240.6,14887.166666666666,3464.6666666666665,20850
171,2017-02-06,230.0,14816.0,3533.8333333333335,20850
168,2017-02-13,241.2,14574.666666666666,3533.8333333333335,20850
155,2017-02-20,263.2,14388.333333333334,3533.8333333333335,20850
159,2017-02-27,269.0,14000.166666666666,3575.8333333333335,20850
162,2017-03-06,272.8,13587.666666666666,3663.3333333333335,20850
161,2017-03-13,283.2,13105.833333333334,3663.3333333333335,20850
160,2017-03-20,281.6,12969.833333333334,3663.3333333333335,20850
155,2017-03-27,265.6,12878.0,3788.1666666666665,20850
155,2017-04-03,258.4,12859.166666666666,3788.1666666666665,20850
214,2017-04-10,263.4,12769.166666666666,3938.1666666666665,21250
285,2017-04-17,261.4,12747.333333333334,3938.1666666666665,21250
268,2017-04-24,254.0,12713.833333333334,3938.1666666666665,21250
231,2017-05-01,251.2,12709.833333333334,4083.3333333333335,21250
201,2017-05-08,261.6,12691.333333333334,3833.3333333333335,18500
174,2017-05-15,260.6,12643.5,3833.3333333333335,18500
159,2017-05-22,260.2,12630.833333333334,3833.3333333333335,18500
154,2017-05-29,257.4,12609.0,3628.3333333333335,18500
152,2017-06-05,256.4,12505.5,3367.0833333333335,18250
149,2017-06-12,257.0,12396.833333333334,3367.0833333333335,18250
142,2017-06-19,258.4,12294.166666666666,3367.0833333333335,18250
143,2017-06-26,261.6,12153.833333333334,3102.9166666666665,18250
148,2017-07-03,271.0,12164.0,3102.9166666666665,18250
152,2017-07-10,277.2,12098.833333333334,2850.0,18250
160,2017-07-17,280.8,12147.666666666666,2850.0,18250
169,2017-07-24,283.6,12412.333333333334,2850.0,18250
176,2017-07-31,300.0,12626.833333333334,2612.1666666666665,18250
181,2017-08-07,310.8,12924.833333333334,2753.0,18850
191,2017-08-14,329.4,13195.166666666666,2753.0,18850
193,2017-08-21,338.0,13766.166666666666,2753.0,18850
201,2017-08-28,340.4,14872.5,2857.5,18850
208,2017-09-04,341.0,15108.833333333334,2857.5,18850
210,2017-09-11,341.0,15280.0,3034.1666666666665,19350
207,2017-09-18,336.2,15964.833333333334,3034.1666666666665,19350
198,2017-09-25,322.6,16463.0,3034.1666666666665,19350
190,2017-10-02,297.0,16456.666666666668,3223.1666666666665,19350
186,2017-10-09,289.0,16438.0,3299.0,20650
182,2017-10-16,293.4,16371.5,3299.0,20650
180,2017-10-23,291.6,16305.833333333334,3299.0,20650
181,2017-10-30,289.0,15688.5,3355.0,20650
177,2017-11-06,293.2,15297.666666666666,3113.3333333333335,20000
181,2017-11-13,290.4,15079.5,3113.3333333333335,20000
188,2017-11-20,295.2,14664.0,3113.3333333333335,20000
198,2017-11-27,301.6,14537.333333333334,2882.3333333333335,20000
205,2017-12-04,309.0,14451.166666666666,2882.3333333333335,20000
220,2017-12-11,324.0,14377.166666666666,2877.3333333333335,20000
226,2017-12-18,327.8,14378.0,2877.3333333333335,20000
240,2017-12-25,344.6,14323.833333333334,2877.3333333333335,20000
250,2018-01-01,349.0,14357.0,2893.0,20000
249,2018-01-08,353.0,14199.666666666666,3008.8333333333335,20300
247,2018-01-15,352.4,14253.166666666666,3113.0,20300
228,2018-01-22,345.0,14343.833333333334,3113.0,20300
212,2018-01-29,336.0,14375.5,3198.6666666666665,20300
213,2018-02-05,328.6,14559.833333333334,3387.8333333333335,20550
223,2018-02-12,327.0,14621.666666666666,3387.8333333333335,20550
228,2018-02-19,330.6,14873.833333333334,3387.8333333333335,20550
229,2018-02-26,338.6,15142.833333333334,3595.3333333333335,20550
230,2018-03-05,345.4,15487.333333333334,3607.0,20550
230,2018-03-12,357.0,15747.833333333334,3607.0,20550
214,2018-03-19,357.8,16150.5,3607.0,20550
208,2018-03-26,356.2,16482.333333333332,3619.5,20550
196,2018-04-02,353.2,16868.333333333332,3619.5,20550
195,2018-04-09,344.6,17234.333333333332,3628.6666666666665,20750
191,2018-04-16,343.0,17252.833333333332,3628.6666666666665,20750
184,2018-04-23,334.6,17321.5,3628.6666666666665,20750
177,2018-04-30,335.6,17297.166666666668,3711.8333333333335,20750
179,2018-05-07,336.0,17255.666666666668,3586.8333333333335,21250
185,2018-05-14,337.8,17217.0,3586.8333333333335,21250
185,2018-05-21,333.8,17113.333333333332,3586.8333333333335,21250
184,2018-05-28,329.6,17023.166666666668,3333.3333333333335,21250
190,2018-06-04,322.6,17020.666666666668,3333.3333333333335,21250
195,2018-06-11,327.0,16971.0,3300.0,21250
198,2018-06-18,334.0,16996.833333333332,3300.0,21250
198,2018-06-25,339.0,16896.333333333332,3300.0,21250
197,2018-07-02,338.8,16730.166666666668,3367.5,21250
198,2018-07-09,336.8,16740.833333333332,3494.1666666666665,23000
180,2018-07-16,329.2,16938.166666666668,3494.1666666666665,23000
177,2018-07-23,326.8,17051.833333333332,3494.1666666666665,23000
173,2018-07-30,323.4,17157.333333333332,3638.1666666666665,23000
173,2018-08-06,321.0,17271.5,3681.9166666666665,23000
180,2018-08-13,313.0,17451.0,3681.9166666666665,23000
182,2018-08-20,299.4,17549.833333333332,3681.9166666666665,23000
182,2018-08-27,295.8,17638.5,3812.4166666666665,23000
182,2018-09-03,301.4,18079.666666666668,3812.4166666666665,23000
187,2018-09-10,306.8,18317.5,4077.0,23000
199,2018-09-17,309.2,18626.333333333332,4077.0,23000
204,2018-09-24,311.2,18801.0,4077.0,23000
200,2018-10-01,312.0,18836.0,4190.333333333333,23000
210,2018-10-08,315.2,18853.833333333332,4332.833333333333,23750
211,2018-10-15,317.4,18857.5,4332.833333333333,23750
214,2018-10-22,317.6,18811.666666666668,4332.833333333333,23750
214,2018-10-29,318.6,18765.333333333332,4537.833333333333,23750
215,2018-11-05,322.4,18617.666666666668,4550.333333333333,22750
216,2018-11-12,325.0,18308.5,4550.333333333333,22750
219,2018-11-19,323.0,17818.166666666668,4550.333333333333,22750
218,2018-11-26,316.4,17387.666666666668,4599.666666666667,22750
216,2018-12-03,308.4,16904.833333333332,4599.666666666667,22750
222,2018-12-10,296.8,16538.166666666668,4734.666666666667,22750
219,2018-12-17,291.2,16375.833333333334,4734.666666666667,22750
218,2018-12-24,282.0,16429.833333333332,4734.666666666667,22750
211,2018-12-31,278.2,16447.5,4891.0,22750
203,2019-01-07,269.8,16296.333333333334,4715.166666666667,22525
197,2019-01-14,267.4,16342.0,4715.166666666667,22525
190,2019-01-21,274.2,16204.166666666666,4715.166666666667,22525
194,2019-01-28,280.2,16249.166666666666,4533.0,22525
200,2019-02-04,300.0,16887.833333333332,4533.0,22525
199,2019-02-11,313.2,17220.333333333332,4773.833333333333,22525
202,2019-02-18,313.2,17388.333333333332,4773.833333333333,22525
206,2019-02-25,309.2,17990.833333333332,4773.833333333333,22525
209,2019-03-04,299.0,18520.666666666668,5074.833333333333,22525
211,2019-03-11,307.4,19225.0,5322.333333333333,23025
210,2019-03-18,310.0,19437.0,5322.333333333333,23025
209,2019-03-25,311.0,19365.0,5322.333333333333,23025
204,2019-04-01,308.0,19107.333333333332,5545.833333333333,23025
198,2019-04-08,302.6,18279.833333333332,5574.583333333333,22200
199,2019-04-15,296.8,17900.833333333332,5574.583333333333,22200
202,2019-04-22,301.8,16944.833333333332,5574.583333333333,22200
201,2019-04-29,296.0,16602.333333333332,5594.916666666667,22200
203,2019-05-06,289.2,16465.5,5606.166666666667,21950
207,2019-05-13,280.0,16049.166666666666,5606.166666666667,21950
208,2019-05-20,281.0,15872.333333333334,5606.166666666667,21950
205,2019-05-27,293.4,15660.0,5481.333333333333,21950
202,2019-06-03,291.0,15410.5,5481.333333333333,21950
200,2019-06-10,290.8,15207.666666666666,5410.5,21950
197,2019-06-17,279.8,15220.666666666666,5410.5,21950
195,2019-06-24,271.0,15345.5,5410.5,21950
193,2019-07-01,274.0,15733.833333333334,5374.0,21950
189,2019-07-08,284.6,16120.666666666666,5273.166666666667,21850
185,2019-07-15,282.0,16659.5,5273.166666666667,21850
180,2019-07-22,281.2,16887.5,5273.166666666667,21850
174,2019-07-29,281.2,16998.833333333332,5258.5,21850
165,2019-08-05,281.0,16983.333333333332,5522.666666666667,21850
159,2019-08-12,279.0,16938.833333333332,5522.666666666667,21850
156,2019-08-19,275.4,16756.333333333332,5522.666666666667,21850
153,2019-08-26,269.6,16491.833333333332,5795.166666666667,21850
154,2019-09-02,259.6,16448.0,5795.166666666667,21850
154,2019-09-09,244.8,15804.5,5587.666666666667,21850
150,2019-09-16,231.4,15695.0,5587.666666666667,21850
143,2019-09-23,221.2,15418.166666666666,5587.666666666667,21850
138,2019-09-30,214.8,15022.166666666666,5326.833333333333,21850
146,2019-10-07,213.2,14525.5,4626.833333333333,20750
148,2019-10-14,218.8,14214.833333333334,4626.833333333333,20750
152,2019-10-21,225.4,14047.0,4626.833333333333,20750
150,2019-10-28,234.6,13941.0,3967.3333333333335,20750
144,2019-11-04,240.0,13352.166666666666,3967.3333333333335,20750
134,2019-11-11,246.8,13378.5,3919.0,20750
135,2019-11-18,249.2,13334.0,3919.0,20750
133,2019-11-25,251.4,13407.0,3919.0,20750
135,2019-12-02,254.0,13815.666666666666,3869.8333333333335,20750
138,2019-12-09,267.8,14191.333333333334,3701.5,20750
136,2019-12-16,281.4,14416.666666666666,3701.5,20750
136,2019-12-23,283.6,14547.333333333334,3701.5,20750
136,2019-12-30,284.6,14893.666666666666,3526.0,20750
140,2020-01-06,284.8,14981.333333333334,3688.5,19050
147,2020-01-13,283.6,15390.5,3688.5,19050
152,2020-01-20,280.0,15576.666666666666,3688.5,19050
152,2020-01-27,267.2,15720.666666666666,3795.8333333333335,19050
152,2020-02-03,259.0,15978.666666666666,3795.8333333333335,19050
150,2020-02-10,247.6,16243.166666666666,3835.0,19050
154,2020-02-17,255.0,16316.5,3835.0,19050
158,2020-02-24,264.0,15910.833333333334,3835.0,19050
161,2020-03-02,262.6,15790.5,3890.6666666666665,19050
162,2020-03-09,257.8,15061.833333333334,3798.1666666666665,19300
160,2020-03-16,254.0,14839.333333333334,3798.1666666666665,19300
163,2020-03-23,233.0,14680.666666666666,3798.1666666666665,19300
156,2020-03-30,207.4,14560.333333333334,3673.5,19300
144,2020-04-06,203.0,14375.0,3821.8333333333335,20100
135,2020-04-13,232.6,14423.0,3770.1666666666665,20100
135,2020-04-20,244.8,14605.166666666666,3770.1666666666665,20100
126,2020-04-27,244.6,15280.833333333334,3895.5,20100
114,2020-05-04,233.0,15477.166666666666,3895.5,20100
110,2020-05-11,234.8,15480.833333333334,3960.9166666666665,20100
116,2020-05-18,241.0,15189.5,3960.9166666666665,20100
118,2020-05-25,239.4,14438.166666666666,3960.9166666666665,20100
111,2020-06-01,242.4,14071.666666666666,4075.4166666666665,20100
108,2020-06-08,247.6,13730.5,4141.666666666667,20100
109,2020-06-15,254.8,13728.5,4141.666666666667,20100
111,2020-06-22,255.0,13975.166666666666,4141.666666666667,20100
115,2020-06-29,246.6,14463.166666666666,4080.3333333333335,20100
116,2020-07-06,244.2,14792.833333333334,4217.0,20250
116,2020-07-13,243.2,14978.5,4217.0,20250
110,2020-07-20,245.2,15320.333333333334,4217.0,20250
111,2020-07-27,254.8,15581.666666666666,4483.0,20250
111,2020-08-03,262.6,15916.666666666666,4483.0,20250
107,2020-08-10,269.0,16258.5,4607.166666666667,20250
106,2020-08-17,273.4,16561.5,4607.166666666667,20250
106,2020-08-24,272.8,16981.833333333332,4607.166666666667,20250
107,2020-08-31,277.6,17050.833333333332,4695.0,20250
108,2020-09-07,286.2,17217.0,5114.166666666667,20550
113,2020-09-14,290.6,17579.166666666668,5264.166666666667,20550
125,2020-09-21,287.6,18085.166666666668,5043.333333333333,20550
135,2020-09-28,285.6,18494.666666666668,5460.166666666667,20550
138,2020-10-05,280.2,18803.833333333332,5761.833333333333,22350
135,2020-10-12,274.4,18993.5,5761.833333333333,22350
123,2020-10-19,274.6,18905.833333333332,5761.833333333333,22350
112,2020-10-26,277.4,18871.5,5958.333333333333,22350
111,2020-11-02,279.2,18975.833333333332,5958.333333333333,22350
115,2020-11-09,283.2,19335.5,6050.833333333333,23100
116,2020-11-16,297.4,19520.0,6050.833333333333,23100
114,2020-11-23,315.6,19845.666666666668,6050.833333333333,23100
118,2020-11-30,329.4,20225.0,6091.333333333333,23100
121,2020-12-07,346.0,20761.5,6088.833333333333,24600
122,2020-12-14,381.4,21808.5,6088.833333333333,24600
123,2020-12-21,426.6,23127.166666666668,6088.833333333333,24600
126,2020-12-28,453.4,24976.0,6068.166666666667,24600
129,2021-01-04,459.2,26382.0,6068.166666666667,24600
131,2021-01-11,463.0,26837.5,6649.0,32375
138,2021-01-18,451.6,26902.0,6649.0,32375
151,2021-01-25,424.4,27545.833333333332,6649.0,32375
171,2021-02-01,396.8,27650.0,7190.5,32375
172,2021-02-08,378.8,27334.333333333332,8138.833333333333,29875
165,2021-02-15,388.4,26355.833333333332,8138.833333333333,29875
159,2021-02-22,402.6,25614.333333333332,8138.833333333333,29875
154,2021-03-01,426.4,25679.166666666668,9250.333333333334,29875
148,2021-03-08,438.4,26070.0,8812.833333333334,30875
142,2021-03-15,425.8,26647.833333333332,8812.833333333334,30875
138,2021-03-22,408.2,27189.166666666668,8812.833333333334,30875
136,2021-03-29,402.0,27973.5,8444.0,30875
138,2021-04-05,410.6,28388.666666666668,8889.833333333334,37600
138,2021-04-12,416.6,28372.666666666668,8889.833333333334,37600
138,2021-04-19,415.2,28179.166666666668,8889.833333333334,37600
138,2021-04-26,414.2,27988.333333333332,9243.666666666666,37600
138,2021-05-03,424.8,27691.666666666668,9243.666666666666,37600
140,2021-05-10,451.0,27462.833333333332,9410.333333333334,37600
149,2021-05-17,489.2,27556.666666666668,9410.333333333334,37600
165,2021-05-24,493.4,28093.333333333332,9410.333333333334,37600
180,2021-05-31,492.2,28769.666666666668,9567.5,37600
190,2021-06-07,485.0,29071.5,10465.833333333334,38350
196,2021-06-14,486.4,28985.666666666668,10465.833333333334,38350
201,2021-06-21,480.8,28770.0,10465.833333333334,38350
211,2021-06-28,477.6,28384.0,11325.333333333334,38350
220,2021-07-05,478.2,27492.666666666668,11304.5,42500
227,2021-07-12,476.4,26745.666666666668,11304.5,42500
233,2021-07-19,466.2,25903.333333333332,11304.5,42500
236,2021-07-26,462.0,25529.666666666668,11315.5,42500
240,2021-08-02,454.2,25586.166666666668,11315.5,42500
245,2021-08-09,445.8,25985.666666666668,11682.166666666666,42500
252,2021-08-16,439.6,26443.666666666668,11682.166666666666,42500
261,2021-08-23,435.4,26492.0,11682.166666666666,42500
280,2021-08-30,432.6,26565.333333333332,11964.666666666666,42500
306,2021-09-06,428.2,26611.333333333332,11035.5,40000
349,2021-09-13,425.2,26503.833333333332,11035.5,40000
407,2021-09-20,424.0,26300.666666666668,11035.5,40000
447,2021-09-27,422.6,25800.833333333332,10162.333333333334,40000
448,2021-10-04,420.8,25451.666666666668,10162.333333333334,40000
449,2021-10-11,433.2,25367.666666666668,9144.833333333334,38500
455,2021-10-18,460.6,25184.0,9144.833333333334,38500
455,2021-10-25,478.6,25891.166666666668,9144.833333333334,38500
456,2021-11-01,479.4,26893.333333333332,8139.833333333333,38500
459,2021-11-08,475.6,27639.166666666668,7353.166666666667,39250
438,2021-11-15,474.8,28212.5,7353.166666666667,39250
392,2021-11-22,474.2,28891.666666666668,7353.166666666667,39250
346,2021-11-29,470.2,29597.5,6656.333333333333,39250
326,2021-12-06,463.4,29847.333333333332,6210.5,39250
337,2021-12-13,452.4,29273.666666666668,6210.5,39250
338,2021-12-20,447.2,28555.333333333332,6210.5,39250
341,2021-12-27,444.8,28100.666666666668,5828.666666666667,39250
346,2022-01-03,444.0,27600.666666666668,5828.666666666667,39250
353,2022-01-10,445.0,27550.833333333332,6188.666666666667,39000
388,2022-01-17,455.2,27921.333333333332,6188.666666666667,39000
415,2022-01-24,455.6,27734.166666666668,6188.666666666667,39000
428,2022-01-31,458.4,28049.666666666668,6401.166666666667,39000
428,2022-02-07,476.4,29297.166666666668,7075.333333333333,40500
422,2022-02-14,490.8,30577.166666666668,7075.333333333333,40500
418,2022-02-21,493.8,31345.333333333332,7075.333333333333,40500
427,2022-02-28,496.6,32240.333333333332,7654.666666666667,40500
456,2022-03-07,539.4,33330.666666666664,8403.0,39500
577,2022-03-14,607.6,32028.166666666668,8403.0,39500
597,2022-03-21,623.8,29089.0,8403.0,39500
536,2022-03-28,624.8,27375.833333333332,9061.5,39500
489,2022-04-04,620.6,26427.5,9061.5,39500
419,2022-04-11,617.4,25801.0,8039.0,46000
485,2022-04-18,608.2,26598.5,8039.0,46000
502,2022-04-25,583.4,29005.5,8039.0,46000
500,2022-05-02,532.6,30830.5,7244.5,46000
494,2022-05-09,505.8,31433.666666666668,7219.5,42000
493,2022-05-16,466.6,30921.5,7219.5,42000
495,2022-05-23,445.8,28634.833333333332,7219.5,42000
464,2022-05-30,439.8,23311.833333333332,7222.166666666667,42000
418,2022-06-06,422.8,20531.166666666668,5901.333333333333,33000
393,2022-06-13,410.0,18898.5,5901.333333333333,33000
392,2022-06-20,368.6,18003.833333333332,5901.333333333333,33000
371,2022-06-27,327.6,17632.166666666668,4685.5,33000
331,2022-07-04,326.6,17326.166666666668,4685.5,33000
302,2022-07-11,371.2,17035.5,4110.5,29900
272,2022-07-18,381.8,18076.333333333332,4110.5,29900
257,2022-07-25,363.2,19229.333333333332,4110.5,29900
227,2022-08-01,336.2,20769.0,3361.0,29900
220,2022-08-08,338.2,23051.666666666668,3319.3333333333335,23250
238,2022-08-15,369.8,23503.833333333332,3319.3333333333335,23250
264,2022-08-22,374.6,23630.666666666668,3319.3333333333335,23250
270,2022-08-29,382.0,23466.166666666668,3308.6666666666665,23250
270,2022-09-05,382.8,22916.666666666668,3467.0,23350
272,2022-09-12,359.4,22674.0,3467.0,23350
267,2022-09-19,336.6,22491.666666666668,3467.0,23350
264,2022-09-26,333.2,22425.5,3669.1666666666665,23350
273,2022-10-03,348.6,22357.833333333332,3669.1666666666665,23350
278,2022-10-10,352.0,22367.0,3796.6666666666665,22000
285,2022-10-17,351.2,22282.833333333332,3796.6666666666665,22000
293,2022-10-24,345.8,22433.333333333332,3796.6666666666665,22000
300,2022-10-31,341.0,22114.5,3899.6666666666665,22000
306,2022-11-07,329.2,21386.5,3905.5,22500
305,2022-11-14,320.2,20241.0,3905.5,22500
280,2022-11-21,314.4,19953.833333333332,3905.5,22500
259,2022-11-28,318.6,19597.5,3911.3333333333335,22500
259,2022-12-05,338.6,19091.833333333332,3911.3333333333335,21000
264,2022-12-12,353.4,18665.333333333332,3911.3333333333335,21000
266,2022-12-19,363.6,18576.5,3911.3333333333335,21000
279,2022-12-26,361.6,18528.166666666668,3910.1666666666665,21000
292,2023-01-02,370.4,18500.666666666668,3910.1666666666665,21000
303,2023-01-09,384.6,19181.333333333332,3939.3333333333335,22500
306,2023-01-16,394.4,19743.0,3939.3333333333335,22500
315,2023-01-23,388.8,20703.0,3939.3333333333335,22500
322,2023-01-30,393.6,22194.333333333332,3983.6666666666665,22500
335,2023-02-06,403.4,23098.666666666668,4227.416666666667,24000
352,2023-02-13,409.0,23851.0,4227.416666666667,24000
367,2023-02-20,401.2,24191.166666666668,4227.416666666667,24000
362,2023-02-27,418.2,24264.833333333332,4454.75,24000
348,2023-03-06,427.8,24652.0,4646.416666666667,25500
354,2023-03-13,432.8,25281.666666666668,4646.416666666667,25500
