dt,Цена на арматуру,Концентрат_коксующегося_угля_Россия_среднее_руб_т_без_НДС,"Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС",Лом_3А_руб_т_без_НДС_x,ЖРС_среднее_руб_т_без_НДС_x,"Чугун_Россия, FCA руб./т, без НДС_x","Концентрат коксующегося угля_HCC Австралия, $/t FOB",Лом_среднее_доллар_т,Лом_3А_руб_т_без_НДС_y,ЖРС_среднее_руб_т_без_НДС_y,"Чугун_Россия, FCA руб./т, без НДС_y"
2015-03-02,29200,3948.75,6900,12385.0,2324.6666666666665,21250,103,230.0,12385.0,2324.6666666666665,21250
2015-03-09,29000,4173.625,8750,12319.666666666666,2361.3333333333335,15250,103,237.4,12319.666666666666,2361.3333333333335,15250
2015-03-16,28700,4173.625,8750,12259.0,2361.3333333333335,15250,102,237.4,12259.0,2361.3333333333335,15250
2015-03-23,27800,4173.625,8750,12139.0,2361.3333333333335,15250,101,237.4,12139.0,2361.3333333333335,15250
2015-03-30,27200,4173.625,8750,12059.0,2410.0,15250,98,239.0,12059.0,2410.0,15250
2015-04-06,26600,4270.75,8750,11933.0,2302.5,13250,95,244.0,11933.0,2302.5,13250
2015-04-13,25700,4973.875,10350,11733.333333333334,2302.5,13250,92,244.8,11733.333333333334,2302.5,13250
2015-04-20,24800,4973.875,10350,11312.166666666666,2302.5,13250,90,249.8,11312.166666666666,2302.5,13250
2015-04-27,24700,4973.875,10350,10906.0,2302.5,13250,88,254.6,10906.0,2302.5,13250
2015-05-04,24300,4971.875,10350,10578.333333333334,2207.3333333333335,13250,86,255.6,10578.333333333334,2207.3333333333335,13250
2015-05-11,23900,4959.375,9900,10280.5,2036.5,12750,82,262.6,10280.5,2036.5,12750
2015-05-18,24000,4959.375,9900,10100.833333333334,2036.5,12750,82,267.4,10100.833333333334,2036.5,12750
2015-05-25,23700,4959.375,9900,9794.0,1906.1666666666667,12750,81,264.6,9794.0,1906.1666666666667,12750
2015-06-01,23500,4959.375,9900,9701.166666666666,1856.0,12750,82,262.0,9701.166666666666,1856.0,12750
2015-06-08,23800,4854.75,9400,9767.0,1916.0,13000,83,260.4,9767.0,1916.0,13000
2015-06-15,24400,4854.75,9400,9604.333333333334,1916.0,13000,85,262.0,9604.333333333334,1916.0,13000
2015-06-22,25000,4854.75,9400,9643.166666666666,1916.0,13000,87,258.8,9643.166666666666,1916.0,13000
2015-06-29,25300,4854.75,9400,9646.166666666666,1981.1666666666667,13000,88,247.6,9646.166666666666,1981.1666666666667,13000
2015-07-06,25500,4066.625,9050,9736.333333333334,2042.8333333333333,13000,87,234.4,9736.333333333334,2042.8333333333333,13000
2015-07-13,25500,4066.625,9050,9893.0,2042.8333333333333,13000,87,226.4,9893.0,2042.8333333333333,13000
2015-07-20,25400,4066.625,9050,9940.0,2042.8333333333333,13000,84,210.4,9940.0,2042.8333333333333,13000
2015-07-27,25200,4066.625,9050,9936.333333333334,2095.8333333333335,13000,80,211.4,9936.333333333334,2095.8333333333335,13000
2015-08-03,25000,4066.625,9050,9958.166666666666,2012.5,13000,79,214.4,9958.166666666666,2012.5,13000
2015-08-10,24700,3987.625,8800,9946.666666666666,2008.3333333333333,13000,83,218.4,9946.666666666666,2008.3333333333333,13000
2015-08-17,24400,3987.625,8800,9954.833333333334,2008.3333333333333,13000,83,220.2,9954.833333333334,2008.3333333333333,13000
2015-08-24,24100,3987.625,8800,9935.166666666666,2008.3333333333333,13000,81,216.4,9935.166666666666,2008.3333333333333,13000
2015-08-31,24100,3987.625,8800,10002.5,1926.3333333333333,13000,81,216.8,10002.5,1926.3333333333333,13000
2015-09-07,23900,3987.625,8800,10137.166666666666,1968.0,14000,81,206.6,10137.166666666666,1968.0,14000
2015-09-14,24200,3987.625,8800,10157.833333333334,1968.0,14000,81,193.4,10157.833333333334,1968.0,14000
2015-09-21,24200,3987.625,8800,10148.5,1968.0,14000,81,191.2,10148.5,1968.0,14000
2015-09-28,24000,3987.625,8800,10186.833333333334,2021.5,14000,80,182.4,10186.833333333334,2021.5,14000
2015-10-05,24000,3987.625,8800,10217.666666666666,2100.6666666666665,14000,79,176.0,10217.666666666666,2100.6666666666665,14000
2015-10-12,23800,4320.0,9100,10212.833333333334,2100.6666666666665,14000,80,169.0,10212.833333333334,2100.6666666666665,14000
2015-10-19,23800,4320.0,9100,10136.333333333334,2100.6666666666665,14000,79,163.8,10136.333333333334,2100.6666666666665,14000
2015-10-26,24200,4320.0,9100,10117.166666666666,2185.6666666666665,14000,78,161.8,10117.166666666666,2185.6666666666665,14000
2015-11-02,24500,4320.0,9100,9904.666666666666,2185.6666666666665,14000,77,169.6,9904.666666666666,2185.6666666666665,14000
2015-11-09,24500,4320.0,9000,9706.333333333334,2185.6666666666665,11000,76,177.2,9706.333333333334,2185.6666666666665,11000
2015-11-16,23950,4320.0,9000,9441.333333333334,2185.6666666666665,11000,74,182.0,9441.333333333334,2185.6666666666665,11000
2015-11-23,23750,4320.0,9000,8984.833333333334,2185.6666666666665,11000,73,180.4,8984.833333333334,2185.6666666666665,11000
2015-11-30,23100,4320.0,9000,8773.333333333334,2152.8333333333335,11000,72,178.2,8773.333333333334,2152.8333333333335,11000
2015-12-07,22800,4320.0,9000,8727.5,2048.6666666666665,11000,74,176.0,8727.5,2048.6666666666665,11000
2015-12-14,22000,4320.0,9000,8687.166666666666,2048.6666666666665,11000,75,175.0,8687.166666666666,2048.6666666666665,11000
2015-12-21,21700,4320.0,9000,8528.333333333334,2048.6666666666665,11000,75,173.8,8528.333333333334,2048.6666666666665,11000
2015-12-28,21300,4320.0,9000,8537.166666666666,1955.0,11000,76,171.4,8537.166666666666,1955.0,11000
2016-01-04,21300,4320.0,9000,8516.333333333334,1955.0,11000,76,172.4,8516.333333333334,1955.0,11000
2016-01-11,21300,4307.5,9000,8489.166666666666,1859.1666666666667,11000,77,173.6,8489.166666666666,1859.1666666666667,11000
2016-01-18,21200,4305.875,9000,8554.166666666666,1855.0,11000,77,173.2,8554.166666666666,1855.0,11000
2016-01-25,21000,4305.875,9000,8601.166666666666,1855.0,11000,75,171.4,8601.166666666666,1855.0,11000
2016-02-01,21000,4305.875,9000,8732.333333333334,1774.3333333333333,11000,75,168.0,8732.333333333334,1774.3333333333333,11000
2016-02-08,21000,4305.875,8650,8844.0,1786.8333333333333,11700,74,167.0,8844.0,1786.8333333333333,11700
2016-02-15,21200,4305.875,8650,8973.166666666666,1786.8333333333333,11700,73,166.2,8973.166666666666,1786.8333333333333,11700
2016-02-22,21800,4305.875,8650,9029.0,1786.8333333333333,11700,74,167.6,9029.0,1786.8333333333333,11700
2016-02-29,22450,4305.875,8650,9010.666666666666,1813.5,11700,76,176.8,9010.666666666666,1813.5,11700
2016-03-07,23300,4305.875,8650,9092.166666666666,1892.6666666666667,12300,79,185.0,9092.166666666666,1892.6666666666667,12300
2016-03-14,23800,4305.875,8650,9281.666666666666,1892.6666666666667,12300,79,200.6,9281.666666666666,1892.6666666666667,12300
2016-03-21,25500,4305.875,8650,9494.333333333334,1892.6666666666667,12300,80,210.0,9494.333333333334,1892.6666666666667,12300
2016-03-28,26700,4305.875,8650,9642.833333333334,1958.0,12300,80,217.8,9642.833333333334,1958.0,12300
2016-04-04,29900,4305.875,8650,9664.333333333334,1958.0,12300,82,226.4,9664.333333333334,1958.0,12300
2016-04-11,29950,4611.5,8850,9868.166666666666,2123.8333333333335,14200,86,241.6,9868.166666666666,2123.8333333333335,14200
2016-04-18,31500,4611.5,8850,9873.166666666666,2123.8333333333335,14200,90,255.2,9873.166666666666,2123.8333333333335,14200
2016-04-25,31900,4611.5,8850,10099.5,2123.8333333333335,14200,94,273.4,10099.5,2123.8333333333335,14200
2016-05-02,40300,4611.5,8850,10451.5,2296.5,14200,97,286.6,10451.5,2296.5,14200
2016-05-09,43500,4611.5,8850,10773.333333333334,2284.0,19500,96,308.8,10773.333333333334,2284.0,19500
2016-05-16,43350,4611.5,8850,11645.666666666666,2284.0,19500,94,292.0,11645.666666666666,2284.0,19500
2016-05-23,42950,4611.5,8850,11685.166666666666,2284.0,19500,91,282.2,11685.166666666666,2284.0,19500
2016-05-30,42000,4611.5,8850,11922.666666666666,2273.6666666666665,19500,86,257.2,11922.666666666666,2273.6666666666665,19500
2016-06-06,38300,4611.5,8875,12130.5,2307.0,17750,87,237.0,12130.5,2307.0,17750
2016-06-13,37500,4611.5,8875,12060.166666666666,2307.0,17750,90,217.6,12060.166666666666,2307.0,17750
2016-06-20,36800,4611.5,8875,11941.833333333334,2307.0,17750,91,216.0,11941.833333333334,2307.0,17750
2016-06-27,35400,4611.5,8875,11745.0,2341.0,17750,91,216.2,11745.0,2341.0,17750
2016-07-04,34400,4611.5,8875,10952.0,2341.0,17750,91,210.6,10952.0,2341.0,17750
2016-07-11,33400,4584.0,9025,10691.5,2236.8333333333335,15900,92,205.6,10691.5,2236.8333333333335,15900
2016-07-18,32500,4584.0,9025,10543.0,2236.8333333333335,15900,96,207.4,10543.0,2236.8333333333335,15900
2016-07-25,32000,4584.0,9025,10441.666666666666,2236.8333333333335,15900,97,213.8,10441.666666666666,2236.8333333333335,15900
2016-08-01,31000,4584.0,9025,10321.166666666666,2068.8333333333335,15900,100,217.2,10321.166666666666,2068.8333333333335,15900
2016-08-08,30200,4594.375,9225,10421.0,2095.5,14750,103,217.4,10421.0,2095.5,14750
2016-08-15,29200,4594.375,9225,10581.166666666666,2095.5,14750,106,216.6,10581.166666666666,2095.5,14750
2016-08-22,28850,4594.375,9225,10688.166666666666,2095.5,14750,114,214.8,10688.166666666666,2095.5,14750
2016-08-29,28700,4594.375,9225,10993.166666666666,2177.1666666666665,14750,124,215.6,10993.166666666666,2177.1666666666665,14750
2016-09-05,28500,4604.625,9525,11162.5,2277.1666666666665,14750,139,214.8,11162.5,2277.1666666666665,14750
2016-09-12,30000,4604.625,9525,11421.0,2277.1666666666665,14750,166,213.0,11421.0,2277.1666666666665,14750
2016-09-19,32000,4604.625,9525,11595.666666666666,2277.1666666666665,14750,199,212.4,11595.666666666666,2277.1666666666665,14750
2016-09-26,32500,4604.625,9525,11667.5,2345.3333333333335,14750,206,208.2,11667.5,2345.3333333333335,14750
2016-10-03,33300,4604.625,9525,11729.333333333334,2345.3333333333335,14750,209,201.2,11729.333333333334,2345.3333333333335,14750
2016-10-10,34300,7069.5,12900,12419.666666666666,2317.8333333333335,13400,211,205.6,12419.666666666666,2317.8333333333335,13400
2016-10-17,33700,7069.5,12900,12385.333333333334,2317.8333333333335,13400,222,210.2,12385.333333333334,2317.8333333333335,13400
2016-10-24,32200,7069.5,12900,12401.0,2317.8333333333335,13400,239,218.8,12401.0,2317.8333333333335,13400
2016-10-31,30400,7069.5,12900,12218.5,2305.5,13400,250,222.2,12218.5,2305.5,13400
2016-11-07,30200,7355.875,12900,12210.166666666666,2291.3333333333335,13900,265,235.2,12210.166666666666,2291.3333333333335,13900
2016-11-14,29800,7355.875,12900,12173.166666666666,2291.3333333333335,13900,302,254.4,12173.166666666666,2291.3333333333335,13900
2016-11-21,33500,7355.875,12900,12377.166666666666,2291.3333333333335,13900,306,260.4,12377.166666666666,2291.3333333333335,13900
2016-11-28,33500,7355.875,12900,12729.666666666666,2228.5,13900,304,258.0,12729.666666666666,2228.5,13900
2016-12-05,33500,7394.0,12900,13156.666666666666,2570.1666666666665,16800,301,255.8,13156.666666666666,2570.1666666666665,16800
2016-12-12,33500,7394.0,13100,13714.666666666666,2570.1666666666665,16800,289,254.2,13714.666666666666,2570.1666666666665,16800
2016-12-19,33000,7394.0,13100,14553.666666666666,2570.1666666666665,16800,254,268.0,14553.666666666666,2570.1666666666665,16800
2016-12-26,32500,7394.0,13100,14899.833333333334,2760.1666666666665,16800,245,276.4,14899.833333333334,2760.1666666666665,16800
2017-01-02,33750,7394.0,13100,15032.0,2760.1666666666665,16800,228,276.4,15032.0,2760.1666666666665,16800
2017-01-09,33750,8876.375,13725,14936.166666666666,3031.0,20850,210,276.4,14936.166666666666,3031.0,20850
2017-01-16,33750,8876.375,13725,15061.666666666666,3031.0,20850,188,273.0,15061.666666666666,3031.0,20850
2017-01-23,33750,8876.375,13725,14940.833333333334,3031.0,20850,176,266.8,14940.833333333334,3031.0,20850
2017-01-30,33000,8876.375,13725,14887.166666666666,3464.6666666666665,20850,173,240.6,14887.166666666666,3464.6666666666665,20850
2017-02-06,32600,11134.5,17500,14816.0,3533.8333333333335,20850,171,230.0,14816.0,3533.8333333333335,20850
2017-02-13,32000,11134.5,17500,14574.666666666666,3533.8333333333335,20850,168,241.2,14574.666666666666,3533.8333333333335,20850
2017-02-20,31300,11134.5,17500,14388.333333333334,3533.8333333333335,20850,155,263.2,14388.333333333334,3533.8333333333335,20850
2017-02-27,30300,11134.5,17500,14000.166666666666,3575.8333333333335,20850,159,269.0,14000.166666666666,3575.8333333333335,20850
2017-03-06,30500,11073.5,17500,13587.666666666666,3663.3333333333335,20850,162,272.8,13587.666666666666,3663.3333333333335,20850
2017-03-13,30700,11073.5,17500,13105.833333333334,3663.3333333333335,20850,161,283.2,13105.833333333334,3663.3333333333335,20850
2017-03-20,30600,11073.5,17500,12969.833333333334,3663.3333333333335,20850,160,281.6,12969.833333333334,3663.3333333333335,20850
2017-03-27,30400,11073.5,17500,12878.0,3788.1666666666665,20850,155,265.6,12878.0,3788.1666666666665,20850
2017-04-03,29800,11073.5,17500,12859.166666666666,3788.1666666666665,20850,155,258.4,12859.166666666666,3788.1666666666665,20850
2017-04-10,29500,7089.625,14775,12769.166666666666,3938.1666666666665,21250,214,263.4,12769.166666666666,3938.1666666666665,21250
2017-04-17,28200,7089.625,14775,12747.333333333334,3938.1666666666665,21250,285,261.4,12747.333333333334,3938.1666666666665,21250
2017-04-24,27500,7089.625,14775,12713.833333333334,3938.1666666666665,21250,268,254.0,12713.833333333334,3938.1666666666665,21250
2017-05-01,26500,7089.625,14775,12709.833333333334,4083.3333333333335,21250,231,251.2,12709.833333333334,4083.3333333333335,21250
2017-05-08,26300,7085.0,14775,12691.333333333334,3833.3333333333335,18500,201,261.6,12691.333333333334,3833.3333333333335,18500
2017-05-15,26300,7085.0,14775,12643.5,3833.3333333333335,18500,174,260.6,12643.5,3833.3333333333335,18500
2017-05-22,26200,7085.0,14775,12630.833333333334,3833.3333333333335,18500,159,260.2,12630.833333333334,3833.3333333333335,18500
2017-05-29,26150,7085.0,14775,12609.0,3628.3333333333335,18500,154,257.4,12609.0,3628.3333333333335,18500
2017-06-05,26150,7081.5,14550,12505.5,3367.0833333333335,18250,152,256.4,12505.5,3367.0833333333335,18250
2017-06-12,26150,7081.5,14550,12396.833333333334,3367.0833333333335,18250,149,257.0,12396.833333333334,3367.0833333333335,18250
2017-06-19,26350,7081.5,14550,12294.166666666666,3367.0833333333335,18250,142,258.4,12294.166666666666,3367.0833333333335,18250
2017-06-26,26550,7081.5,14550,12153.833333333334,3102.9166666666665,18250,143,261.6,12153.833333333334,3102.9166666666665,18250
2017-07-03,26650,7081.5,14550,12164.0,3102.9166666666665,18250,148,271.0,12164.0,3102.9166666666665,18250
2017-07-10,28000,6584.25,12250,12098.833333333334,2850.0,18250,152,277.2,12098.833333333334,2850.0,18250
2017-07-17,28800,6584.25,12250,12147.666666666666,2850.0,18250,160,280.8,12147.666666666666,2850.0,18250
2017-07-24,29400,6584.25,12800,12412.333333333334,2850.0,18250,169,283.6,12412.333333333334,2850.0,18250
2017-07-31,29400,6584.25,12800,12626.833333333334,2612.1666666666665,18250,176,300.0,12626.833333333334,2612.1666666666665,18250
2017-08-07,30900,6584.25,12800,12924.833333333334,2753.0,18850,181,310.8,12924.833333333334,2753.0,18850
2017-08-14,33900,6584.25,12650,13195.166666666666,2753.0,18850,191,329.4,13195.166666666666,2753.0,18850
2017-08-21,35900,6584.25,12650,13766.166666666666,2753.0,18850,193,338.0,13766.166666666666,2753.0,18850
2017-08-28,36800,6584.25,12650,14872.5,2857.5,18850,201,340.4,14872.5,2857.5,18850
2017-09-04,38600,6584.25,12650,15108.833333333334,2857.5,18850,208,341.0,15108.833333333334,2857.5,18850
2017-09-11,39600,6618.625,12650,15280.0,3034.1666666666665,19350,210,341.0,15280.0,3034.1666666666665,19350
2017-09-18,38800,6618.625,12650,15964.833333333334,3034.1666666666665,19350,207,336.2,15964.833333333334,3034.1666666666665,19350
2017-09-25,38800,6618.625,12650,16463.0,3034.1666666666665,19350,198,322.6,16463.0,3034.1666666666665,19350
2017-10-02,37500,6618.625,12650,16456.666666666668,3223.1666666666665,19350,190,297.0,16456.666666666668,3223.1666666666665,19350
2017-10-09,37000,8224.875,16300,16438.0,3299.0,20650,186,289.0,16438.0,3299.0,20650
2017-10-16,35800,8224.875,16300,16371.5,3299.0,20650,182,293.4,16371.5,3299.0,20650
2017-10-23,33800,8224.875,16300,16305.833333333334,3299.0,20650,180,291.6,16305.833333333334,3299.0,20650
2017-10-30,31500,8224.875,16300,15688.5,3355.0,20650,181,289.0,15688.5,3355.0,20650
2017-11-06,30000,8043.5,16025,15297.666666666666,3113.3333333333335,20000,177,293.2,15297.666666666666,3113.3333333333335,20000
2017-11-13,32500,8043.5,16025,15079.5,3113.3333333333335,20000,181,290.4,15079.5,3113.3333333333335,20000
2017-11-20,32500,8043.5,16025,14664.0,3113.3333333333335,20000,188,295.2,14664.0,3113.3333333333335,20000
2017-11-27,32000,8043.5,16025,14537.333333333334,2882.3333333333335,20000,198,301.6,14537.333333333334,2882.3333333333335,20000
2017-12-04,31500,8043.5,16025,14451.166666666666,2882.3333333333335,20000,205,309.0,14451.166666666666,2882.3333333333335,20000
2017-12-11,31700,8089.75,15850,14377.166666666666,2877.3333333333335,20000,220,324.0,14377.166666666666,2877.3333333333335,20000
2017-12-18,31800,8089.75,15850,14378.0,2877.3333333333335,20000,226,327.8,14378.0,2877.3333333333335,20000
2017-12-25,34600,8089.75,15850,14323.833333333334,2877.3333333333335,20000,240,344.6,14323.833333333334,2877.3333333333335,20000
2018-01-01,35600,8089.75,15850,14357.0,2893.0,20000,250,349.0,14357.0,2893.0,20000
2018-01-08,35600,9039.75,15750,14199.666666666666,3008.8333333333335,20300,249,353.0,14199.666666666666,3008.8333333333335,20300
2018-01-15,35600,9039.75,15750,14253.166666666666,3113.0,20300,247,352.4,14253.166666666666,3113.0,20300
2018-01-22,35300,9039.75,15750,14343.833333333334,3113.0,20300,228,345.0,14343.833333333334,3113.0,20300
2018-01-29,34500,9039.75,15750,14375.5,3198.6666666666665,20300,212,336.0,14375.5,3198.6666666666665,20300
2018-02-05,33700,9788.6875,15425,14559.833333333334,3387.8333333333335,20550,213,328.6,14559.833333333334,3387.8333333333335,20550
2018-02-12,34000,9788.6875,15425,14621.666666666666,3387.8333333333335,20550,223,327.0,14621.666666666666,3387.8333333333335,20550
2018-02-19,33900,9788.6875,15425,14873.833333333334,3387.8333333333335,20550,228,330.6,14873.833333333334,3387.8333333333335,20550
2018-02-26,32700,9788.6875,15425,15142.833333333334,3595.3333333333335,20550,229,338.6,15142.833333333334,3595.3333333333335,20550
2018-03-05,32900,9404.0625,15275,15487.333333333334,3607.0,20550,230,345.4,15487.333333333334,3607.0,20550
2018-03-12,33300,9404.0625,15275,15747.833333333334,3607.0,20550,230,357.0,15747.833333333334,3607.0,20550
2018-03-19,33600,9404.0625,15275,16150.5,3607.0,20550,214,357.8,16150.5,3607.0,20550
2018-03-26,34800,9404.0625,15275,16482.333333333332,3619.5,20550,208,356.2,16482.333333333332,3619.5,20550
2018-04-02,36100,9404.0625,15275,16868.333333333332,3619.5,20550,196,353.2,16868.333333333332,3619.5,20550
2018-04-09,36100,8851.625,15075,17234.333333333332,3628.6666666666665,20750,195,344.6,17234.333333333332,3628.6666666666665,20750
2018-04-16,35900,8851.625,15075,17252.833333333332,3628.6666666666665,20750,191,343.0,17252.833333333332,3628.6666666666665,20750
2018-04-23,35900,8851.625,15075,17321.5,3628.6666666666665,20750,184,334.6,17321.5,3628.6666666666665,20750
2018-04-30,36400,8851.625,15075,17297.166666666668,3711.8333333333335,20750,177,335.6,17297.166666666668,3711.8333333333335,20750
2018-05-07,37900,8579.125,14675,17255.666666666668,3586.8333333333335,21250,179,336.0,17255.666666666668,3586.8333333333335,21250
2018-05-14,37700,8579.125,14675,17217.0,3586.8333333333335,21250,185,337.8,17217.0,3586.8333333333335,21250
2018-05-21,37900,8579.125,14675,17113.333333333332,3586.8333333333335,21250,185,333.8,17113.333333333332,3586.8333333333335,21250
2018-05-28,37900,8579.125,14675,17023.166666666668,3333.3333333333335,21250,184,329.6,17023.166666666668,3333.3333333333335,21250
2018-06-04,37600,8579.125,14675,17020.666666666668,3333.3333333333335,21250,190,322.6,17020.666666666668,3333.3333333333335,21250
2018-06-11,37400,8594.125,13875,16971.0,3300.0,21250,195,327.0,16971.0,3300.0,21250
2018-06-18,37400,8594.125,13875,16996.833333333332,3300.0,21250,198,334.0,16996.833333333332,3300.0,21250
2018-06-25,37100,8594.125,13875,16896.333333333332,3300.0,21250,198,339.0,16896.333333333332,3300.0,21250
2018-07-02,37100,8594.125,13875,16730.166666666668,3367.5,21250,197,338.8,16730.166666666668,3367.5,21250
2018-07-09,37200,8639.625,13500,16740.833333333332,3494.1666666666665,23000,198,336.8,16740.833333333332,3494.1666666666665,23000
2018-07-16,37800,8639.625,13500,16938.166666666668,3494.1666666666665,23000,180,329.2,16938.166666666668,3494.1666666666665,23000
2018-07-23,37500,8639.625,13500,17051.833333333332,3494.1666666666665,23000,177,326.8,17051.833333333332,3494.1666666666665,23000
2018-07-30,37500,8639.625,13500,17157.333333333332,3638.1666666666665,23000,173,323.4,17157.333333333332,3638.1666666666665,23000
2018-08-06,39400,8726.25,13425,17271.5,3681.9166666666665,23000,173,321.0,17271.5,3681.9166666666665,23000
2018-08-13,39650,8726.25,13425,17451.0,3681.9166666666665,23000,180,313.0,17451.0,3681.9166666666665,23000
2018-08-20,40750,8726.25,13425,17549.833333333332,3681.9166666666665,23000,182,299.4,17549.833333333332,3681.9166666666665,23000
2018-08-27,43100,8726.25,13425,17638.5,3812.4166666666665,23000,182,295.8,17638.5,3812.4166666666665,23000
2018-09-03,48700,8726.25,13425,18079.666666666668,3812.4166666666665,23000,182,301.4,18079.666666666668,3812.4166666666665,23000
2018-09-10,48850,8578.625,13550,18317.5,4077.0,23000,187,306.8,18317.5,4077.0,23000
2018-09-17,48350,8578.625,13550,18626.333333333332,4077.0,23000,199,309.2,18626.333333333332,4077.0,23000
2018-09-24,44600,8578.625,13550,18801.0,4077.0,23000,204,311.2,18801.0,4077.0,23000
2018-10-01,42600,8578.625,13550,18836.0,4190.333333333333,23000,200,312.0,18836.0,4190.333333333333,23000
2018-10-08,41500,8733.75,13225,18853.833333333332,4332.833333333333,23750,210,315.2,18853.833333333332,4332.833333333333,23750
2018-10-15,40800,8733.75,13225,18857.5,4332.833333333333,23750,211,317.4,18857.5,4332.833333333333,23750
2018-10-22,39700,8733.75,13225,18811.666666666668,4332.833333333333,23750,214,317.6,18811.666666666668,4332.833333333333,23750
2018-10-29,39500,8733.75,13225,18765.333333333332,4537.833333333333,23750,214,318.6,18765.333333333332,4537.833333333333,23750
2018-11-05,38800,8935.625,13375,18617.666666666668,4550.333333333333,22750,215,322.4,18617.666666666668,4550.333333333333,22750
2018-11-12,38300,8935.625,13375,18308.5,4550.333333333333,22750,216,325.0,18308.5,4550.333333333333,22750
