cast_iron_europe_dollar_tonn_ship_cfr,cast_iron_brasil_south_dollar_tonn_ship_fob,cast_iron_russia_rub_tonn_ship_fca,cast_iron_turkey_dollar_tonn_ship_cfr,cast_iron_russia_south_dollar_tonn_ship_fob,cast_iron_italy_dollar_tonn_ship_cfr,cast_iron_usa_dollar_tonn_ship_cfr,cast_iron_russia_east_dollar_tonn_fob,cast_iron_brasil_north_dollar_tonn_ship_fob,cast_iron_china_dollar_tonn_ship_cfr,dt
,,21250,,297,,,,338,,2015-02-09
,,21250,,278,,,,308,,2015-02-16
,,21250,,265,,,,295,,2015-02-23
,,21250,,265,,,,295,,2015-03-02
,,15250,,265,,,,275,,2015-03-09
,,15250,,263,,,,265,,2015-03-16
,,15250,,263,,,,263,,2015-03-23
,,15250,,261,,,,269,,2015-03-30
,,13250,,264,,,,265,,2015-04-06
,,13250,,260,,,,265,,2015-04-13
,,13250,,260,,,,265,,2015-04-20
,,13250,,264,,,,270,,2015-04-27
,,13250,,263,,,,265,,2015-05-04
,,12750,,270,,,,263,,2015-05-11
,,12750,,270,,,,263,,2015-05-18
,,12750,,272,,,,265,,2015-05-25
,,12750,,270,,,,265,,2015-06-01
,,13000,,272,,,,265,,2015-06-08
,,13000,,271,,,,265,,2015-06-15
,,13000,,268,,,,265,,2015-06-22
,,13000,,266,,,,265,,2015-06-29
,,13000,,259,,,,265,,2015-07-06
,,13000,,255,,,,265,,2015-07-13
,,13000,,245,,,,265,,2015-07-20
,,13000,,245,,,,265,,2015-07-27
,,13000,,240,,,,265,,2015-08-03
,,13000,,245,,,,255,,2015-08-10
,,13000,,245,,,,255,,2015-08-17
,,13000,,240,,,,250,,2015-08-24
,,13000,,235,,,,248,,2015-08-31
,,14000,,230,,,,236,,2015-09-07
,,14000,,210,,,,236,,2015-09-14
,,14000,,210,,,,236,,2015-09-21
,,14000,,205,,,,231,,2015-09-28
,,14000,,195,,,,216,,2015-10-05
,,14000,,190,,,,216,,2015-10-12
,,14000,,175,,,,205,,2015-10-19
,,14000,,180,,,,189,,2015-10-26
,,14000,,185,,,,189,,2015-11-02
,,11000,,185,,,,181,,2015-11-09
,,11000,,190,,,,181,,2015-11-16
,,11000,,190,,,,181,,2015-11-23
,,11000,,185,,,,183,,2015-11-30
,,11000,,180,,,,183,,2015-12-07
,,11000,,180,,,,183,,2015-12-14
,,11000,,180,,,,183,,2015-12-21
,,11000,,180,,,,183,,2015-12-28
,,11000,,180,,,,183,,2016-01-04
,,11000,,185,,,,183,,2016-01-11
,,11000,,190,,,,183,,2016-01-18
,,11000,,190,,,,183,,2016-01-25
,,11000,,190,,,,183,,2016-02-01
,,11700,,185,,,,181,,2016-02-08
,,11700,,185,,,,185,,2016-02-15
,,11700,,187,,,,187,,2016-02-22
,,11700,,189,,,,188,,2016-02-29
,,12300,,210,,,,192,,2016-03-07
,,12300,,210,,,,193,,2016-03-14
,,12300,,240,,,,190,,2016-03-21
,,12300,,250,,,,214,,2016-03-28
,,12300,,250,,,,236,,2016-04-04
,,14200,,260,,,,241,,2016-04-11
,,14200,,275,,,,244,,2016-04-18
,,14200,,295,,,,251,,2016-04-25
,,14200,,325,,,,288,,2016-05-02
,,19500,,325,,,,295,,2016-05-09
,,19500,,315,,,,295,,2016-05-16
,,19500,,285,,,,295,,2016-05-23
,,19500,,280,,,,292,,2016-05-30
,,17750,,265,,,,290,,2016-06-06
,,17750,,245,,,,286,,2016-06-13
,,17750,,250,,,,288,,2016-06-20
,,17750,,250,,,,288,,2016-06-27
,,17750,,240,,,,253,,2016-07-04
,,15900,,245,,,,245,,2016-07-11
,,15900,,245,,,,250,,2016-07-18
,,15900,,250,,,,250,,2016-07-25
,,15900,,250,,,,248,,2016-08-01
,,14750,,245,,,,250,,2016-08-08
,,14750,,250,,,,245,,2016-08-15
,,14750,,255,,,,245,,2016-08-22
,,14750,,255,,,,250,,2016-08-29
,,14750,,255,,,,250,,2016-09-05
,,14750,,255,,,,250,,2016-09-12
,,14750,,245,,,,248,,2016-09-19
,,14750,,250,,,,248,,2016-09-26
,,14750,,243,,,,248,,2016-10-03
,,13400,,235,,,,243,,2016-10-10
,,13400,,240,,,,243,,2016-10-17
,,13400,,250,,,,235,,2016-10-24
,,13400,,270,,,,235,,2016-10-31
,,13900,,290,,,,249,,2016-11-07
,,13900,,315,,,,249,,2016-11-14
,,13900,,325,,,,278,,2016-11-21
,,13900,,320,,,,278,,2016-11-28
,,16800,,315,,,,275,,2016-12-05
,,16800,,310,,,,275,,2016-12-12
,,16800,,315,,,,300,,2016-12-19
,,16800,,310,,,,300,,2016-12-26
,,16800,,310,,,,300,,2017-01-02
,,20850,,310,,,,300,,2017-01-09
,,20850,,310,,,,300,,2017-01-16
,,20850,,315,,,,300,,2017-01-23
,,20850,,300,,,,280,,2017-01-30
,,20850,,290,,,,280,,2017-02-06
,,20850,297.5,310,285.5,312.0,,313,,2017-02-13
,,20850,315.0,328,312.5,325.0,,313,,2017-02-20
,,20850,343.0,340,322.5,345.0,,320,,2017-02-27
,,20850,362.5,360,352.5,370.0,,335,,2017-03-06
,,20850,362.5,365,372.5,370.0,,355,,2017-03-13
,,20850,398.5,385,387.5,386.5,,390,,2017-03-20
,,20850,387.5,395,387.5,386.5,,390,,2017-03-27
,,20850,367.5,390,377.5,390.0,,380,,2017-04-03
,,21250,362.5,390,372.5,380.0,,370,,2017-04-10
,,21250,362.5,387,372.5,392.0,,370,,2017-04-17
,,21250,362.5,385,372.5,382.5,,365,,2017-04-24
,,21250,342.5,375,367.5,387.5,,365,,2017-05-01
,,18500,342.5,370,368.5,377.5,,365,,2017-05-08
,,18500,342.5,370,365.0,377.5,,365,,2017-05-15
,,18500,342.5,365,360.0,375.0,,365,,2017-05-22
,,18500,347.5,360,352.5,367.5,,365,,2017-05-29
,,18250,342.5,360,355.0,347.5,,365,,2017-06-05
,,18250,342.5,355,345.0,347.5,,350,,2017-06-12
,,18250,332.5,350,345.0,345.0,,350,,2017-06-19
,,18250,332.5,345,344.5,345.0,,345,,2017-06-26
,,18250,332.5,340,345.5,345.0,,340,,2017-07-03
,,18250,342.5,350,355.5,352.5,,345,,2017-07-10
,,18250,342.5,350,357.5,352.5,,345,,2017-07-17
,,18250,350.0,350,362.5,360.0,,350,,2017-07-24
,,18250,360.0,360,367.5,362.5,,355,,2017-07-31
,,18850,362.5,355,366.0,362.5,,355,,2017-08-07
,,18850,365.0,360,375.0,367.5,,355,,2017-08-14
,,18850,365.0,365,375.0,375.0,,360,,2017-08-21
,,18850,370.0,375,385.0,382.5,,363,,2017-08-28
,,18850,370.0,380,390.0,387.5,,375,,2017-09-04
,,19350,370.0,380,390.0,387.5,,375,,2017-09-11
,,19350,370.0,380,386.5,387.5,,375,,2017-09-18
,,19350,365.0,375,375.0,382.5,,370,,2017-09-25
,,19350,345.0,345,357.5,365.0,,333,,2017-10-02
,,20650,345.0,345,350.0,355.0,,333,,2017-10-09
,,20650,342.5,340,351.5,340.0,,327,,2017-10-16
,,20650,342.5,340,352.5,350.0,,327,,2017-10-23
,,20650,342.5,340,355.0,351.5,,336,,2017-10-30
,,20000,342.5,340,355.0,351.5,,336,,2017-11-06
,,20000,342.5,337,352.5,347.5,,336,,2017-11-13
,,20000,342.5,340,352.5,347.5,,330,,2017-11-20
,,20000,342.5,335,352.5,343.5,,325,,2017-11-27
,,20000,347.5,335,355.5,347.5,,330,,2017-12-04
,,20000,375.0,355,366.0,367.5,,350,,2017-12-11
,,20000,375.0,355,363.5,372.5,,350,,2017-12-18
,,20000,385.0,360,375.0,377.5,,355,,2017-12-25
,,20000,385.0,365,380.0,380.0,,360,,2018-01-01
,,20300,387.5,365,382.5,380.0,,360,,2018-01-08
,,20300,387.5,380,387.5,397.5,,380,,2018-01-15
,,20300,382.5,380,382.5,400.0,,380,,2018-01-22
,,20300,372.5,365,376.0,397.5,,370,,2018-01-29
,,20550,367.5,370,372.5,392.5,,370,,2018-02-05
,,20550,352.5,365,367.5,390.0,,370,,2018-02-12
,,20550,357.5,360,363.5,382.5,,360,,2018-02-19
,,20550,360.0,365,369.0,381.0,,373,,2018-02-26
,,20550,372.5,370,382.5,387.5,,375,,2018-03-05
,,20550,385.0,380,387.5,395.0,,380,,2018-03-12
,,20550,390.0,395,407.5,402.5,,390,,2018-03-19
,,20550,390.0,395,407.5,411.0,,395,,2018-03-26
,,20550,385.0,397,400.0,415.0,,395,,2018-04-02
,,20750,385.0,397,400.0,415.0,,395,,2018-04-09
,,20750,385.0,397,394.0,415.0,,395,,2018-04-16
,,20750,382.5,395,389.0,410.0,,390,,2018-04-23
,,20750,372.5,390,386.0,405.0,,385,,2018-04-30
,,21250,372.5,385,385.0,402.5,,385,,2018-05-07
,,21250,382.5,385,387.5,407.5,,390,,2018-05-14
,,21250,382.5,390,390.0,410.0,,395,,2018-05-21
,,21250,382.5,390,397.5,410.0,,398,,2018-05-28
,,21250,372.5,390,382.5,410.0,,398,,2018-06-04
,,21250,380.0,390,387.5,410.0,,398,,2018-06-11
,,21250,387.5,390,397.5,410.0,,395,,2018-06-18
,,21250,387.5,393,400.0,411.0,,397,,2018-06-25
,,21250,387.5,393,400.0,412.5,,397,,2018-07-02
,,23000,385.0,400,407.5,412.5,,400,,2018-07-09
,,23000,385.0,400,412.5,410.0,,395,,2018-07-16
,,23000,385.0,395,412.5,410.0,,390,,2018-07-23
,,23000,385.0,395,410.0,410.0,,390,,2018-07-30
,,23000,395.0,395,407.5,405.0,,385,,2018-08-06
,,23000,380.0,390,402.5,402.5,,385,,2018-08-13
,,23000,370.0,380,395.0,400.0,,375,,2018-08-20
,,23000,370.0,377,390.0,397.5,,375,,2018-08-27
,,23000,370.0,377,390.0,397.5,,375,,2018-09-03
,,23000,372.5,375,387.5,392.5,,370,,2018-09-10
,,23000,372.5,373,386.5,387.5,,370,,2018-09-17
,,23000,375.0,373,386.5,385.0,,370,,2018-09-24
,,23000,375.0,370,382.5,387.5,,365,,2018-10-01
,,23750,375.0,366,380.0,386.5,,360,,2018-10-08
,,23750,381.5,365,381.0,386.5,,360,,2018-10-15
,,23750,381.5,365,395.0,387.5,,360,,2018-10-22
,,23750,377.5,364,391.5,387.5,,355,,2018-10-29
,,22750,385.0,364,390.0,386.5,,350,,2018-11-05
,,22750,382.5,364,390.0,386.5,,350,,2018-11-12
,,22750,380.0,364,387.5,386.5,,350,,2018-11-19
,,22750,375.0,364,386.5,385.0,,350,,2018-11-26
,,22750,370.0,364,382.5,385.0,,350,,2018-12-03
,,22750,362.5,360,379.0,381.0,,350,,2018-12-10
,,22750,352.5,355,376.5,375.0,,345,,2018-12-17
,,22750,347.5,350,367.5,372.5,,345,,2018-12-24
,,22750,342.5,345,366.5,367.5,,340,,2018-12-31
,,22525,340.0,345,362.5,365.0,,340,,2019-01-07
,,22525,340.0,337,355.0,357.5,,335,,2019-01-14
,,22525,337.5,325,342.5,342.5,,330,,2019-01-21
,,22525,337.5,325,345.5,342.5,,325,,2019-01-28
,,22525,340.0,325,345.5,340.0,,315,,2019-02-04
,,22525,345.0,330,345.0,340.0,,330,,2019-02-11
,,22525,345.0,332,345.0,352.5,,335,,2019-02-18
,,22525,350.0,343,357.5,357.5,,335,,2019-02-25
,,22525,347.5,345,355.0,357.5,,335,,2019-03-04
,,23025,347.5,345,355.0,360.0,,347,,2019-03-11
,,23025,355.0,350,357.5,371.0,,347,,2019-03-18
,,23025,362.5,345,360.0,368.0,,347,,2019-03-25
,,23025,355.0,355,360.0,368.0,,347,,2019-04-01
,,22200,347.5,350,360.0,370.0,,347,,2019-04-08
,,22200,347.5,355,360.0,372.5,,347,,2019-04-15
,,22200,352.5,350,357.5,355.0,,335,,2019-04-22
,,22200,350.0,350,355.0,350.0,,330,,2019-04-29
,,21950,347.5,337,355.0,356.0,,330,,2019-05-06
,,21950,345.0,337,356.0,356.0,,330,,2019-05-13
,,21950,352.5,335,358.5,356.0,,330,,2019-05-20
,,21950,355.0,337,359.5,355.0,,330,,2019-05-27
,,21950,350.0,335,360.0,353.5,,330,,2019-06-03
,,21950,345.0,333,355.0,347.5,,330,,2019-06-10
,,21950,337.5,327,351.0,345.0,,320,,2019-06-17
,,21950,337.5,327,347.5,345.0,,315,,2019-06-24
,,21950,340.0,332,348.5,354.0,,315,,2019-07-01
,,21850,345.0,335,353.5,354.0,,315,,2019-07-08
,,21850,345.0,345,357.5,360.0,,315,,2019-07-15
,,21850,350.0,345,359.0,362.5,,320,,2019-07-22
,,21850,350.0,345,357.5,362.5,,320,,2019-07-29
,,21850,355.0,345,359.0,364.5,,345,,2019-08-05
,,21850,355.0,342,357.5,360.0,,340,,2019-08-12
,,21850,352.5,342,357.5,363.5,,340,,2019-08-19
,,21850,347.5,340,357.5,357.5,,335,,2019-08-26
,,21850,345.0,335,355.0,355.0,,330,,2019-09-02
,,21850,330.0,325,332.5,340.0,,315,,2019-09-09
,,21850,327.5,320,332.5,340.0,,310,,2019-09-16
,,21850,325.0,315,324.0,322.5,,305,,2019-09-23
,,21850,310.0,300,312.5,305.0,,285,,2019-09-30
,,20750,310.0,300,302.5,302.5,,280,,2019-10-07
,,20750,300.0,280,300.0,290.0,,275,322.5,2019-10-14
,,20750,302.5,280,302.5,297.5,,280,317.5,2019-10-21
,,20750,305.0,285,306.0,309.5,,285,317.5,2019-10-28
,,20750,309.5,290,309.5,312.5,,285,325.0,2019-11-04
,,20750,312.0,298,316.5,315.0,,290,327.5,2019-11-11
,,20750,312.0,302,315.0,319.0,,290,330.0,2019-11-18
,,20750,320.0,305,322.5,322.5,,300,332.5,2019-11-25
,,20750,325.0,306,327.5,326.0,,305,336.0,2019-12-02
,,20750,333.5,308,335.0,328.0,,310,337.5,2019-12-09
,,20750,335.0,315,339.5,332.5,,310,339.0,2019-12-16
,,20750,335.0,320,342.5,335.0,,310,347.5,2019-12-23
,,20750,335.0,320,342.5,337.5,,320,347.5,2019-12-30
,,19050,335.0,320,342.5,340.0,,320,347.5,2020-01-06
,,19050,332.5,320,338.0,340.0,,320,351.0,2020-01-13
,,19050,330.0,328,338.0,349.0,,325,357.5,2020-01-20
,,19050,327.5,322,337.5,346.5,,325,364.0,2020-01-27
,,19050,320.0,322,322.5,343.0,,320,347.5,2020-02-03
,,19050,315.0,310,320.0,331.5,,315,340.0,2020-02-10
,,19050,320.0,310,320.0,338.0,,315,332.5,2020-02-17
,,19050,335.0,330,337.5,346.0,,320,344.0,2020-02-24
,,19050,337.5,330,341.0,348.5,,320,335.0,2020-03-02
,,19300,342.5,341,340.0,354.0,,323,335.0,2020-03-09
,,19300,337.5,335,338.5,350.5,,323,345.0,2020-03-16
,,19300,325.0,305,327.5,347.5,,310,333.5,2020-03-23
,,19300,302.5,297,307.5,317.5,,290,326.5,2020-03-30
,,20100,280.0,280,292.5,292.5,,270,305.0,2020-04-06
,,20100,280.0,285,292.5,297.5,,265,301.0,2020-04-13
,,20100,297.5,290,297.5,297.5,,265,302.5,2020-04-20
,,20100,295.0,283,302.5,290.0,,265,298.5,2020-04-27
,,20100,282.5,286,305.0,301.0,,267,299.0,2020-05-04
,,20100,300.0,288,301.0,305.0,,285,305.0,2020-05-11
,,20100,307.5,290,301.0,305.0,,290,312.0,2020-05-18
,,20100,307.5,295,307.5,307.5,,295,321.5,2020-05-25
,,20100,302.5,296,306.0,312.0,,295,318.5,2020-06-01
,,20100,302.5,307,305.0,313.5,,295,332.5,2020-06-08
,,20100,307.5,305,312.0,320.0,,300,344.5,2020-06-15
,,20100,310.0,318,312.5,322.5,,313,345.0,2020-06-22
,,20100,310.0,315,312.5,323.5,,313,341.0,2020-06-29
,,20250,320.0,310,319.0,321.0,,305,341.0,2020-07-06
,,20250,320.0,317,322.5,325.0,,313,344.5,2020-07-13
,,20250,325.0,323,325.0,327.5,,320,355.5,2020-07-20
,,20250,331.0,323,327.5,327.5,,320,356.0,2020-07-27
,,20250,332.5,325,332.5,330.0,,320,355.0,2020-08-03
,,20250,345.0,335,345.5,335.0,,337,370.0,2020-08-10
,,20250,347.5,342,347.5,335.0,,340,376.5,2020-08-17
,,20250,347.5,342,347.5,337.5,,340,374.0,2020-08-24
,,20250,348.5,345,347.5,359.0,,340,377.0,2020-08-31
,,20550,355.0,354,361.0,365.0,,350,386.5,2020-09-07
,,20550,362.5,360,367.5,375.0,,365,392.5,2020-09-14
,,20550,362.5,369,375.0,387.5,,365,391.0,2020-09-21
,,20550,362.5,363,371.0,383.5,,360,384.5,2020-09-28
,,22350,367.5,348,372.0,370.0,,350,383.0,2020-10-05
,,22350,367.5,355,372.0,367.5,,353,385.0,2020-10-12
,,22350,367.5,355,370.0,369.5,,353,386.5,2020-10-19
,,22350,370.0,359,370.0,375.0,,353,387.5,2020-10-26
,,22350,370.0,359,370.0,375.0,,353,388.5,2020-11-02
,,23100,377.5,370,372.5,378.5,,360,400.0,2020-11-09
,,23100,393.5,379,385.0,392.5,,375,406.0,2020-11-16
,,23100,412.5,405,408.5,430.0,,395,418.5,2020-11-23
,,23100,464.0,435,430.0,453.5,,430,435.0,2020-11-30
,,24600,481.0,470,474.0,460.0,,440,435.0,2020-12-07
,,24600,506.0,490,490.0,482.5,,485,440.0,2020-12-14
,,24600,527.5,515,500.0,517.5,,505,445.0,2020-12-21
,,24600,562.5,540,510.0,555.0,,535,455.0,2020-12-28
,,24600,562.5,540,522.5,555.0,,535,460.0,2021-01-04
,,32375,567.5,555,545.0,572.5,,550,505.0,2021-01-11
,,32375,562.5,555,545.0,572.5,,550,512.5,2021-01-18
,,32375,545.0,525,535.0,540.0,,520,512.5,2021-01-25
,,32375,515.0,505,520.0,520.0,,490,505.0,2021-02-01
,,29875,505.0,495,510.0,517.5,,480,505.0,2021-02-08
,,29875,527.5,500,522.5,520.0,,485,485.0,2021-02-15
,,29875,545.0,520,530.0,520.0,,500,485.0,2021-02-22
,,29875,556.5,525,544.0,542.5,,510,525.0,2021-03-01
,,30875,569.0,546,570.0,562.5,,520,555.0,2021-03-08
,,30875,560.0,546,557.5,560.0,,530,555.0,2021-03-15
,,30875,567.5,545,559.0,557.5,,530,542.5,2021-03-22
,,30875,565.0,545,555.0,557.5,,530,547.5,2021-03-29
,,37600,563.5,545,556.0,549.0,,510,547.5,2021-04-05
,,37600,562.5,550,558.5,567.5,,520,547.5,2021-04-12
,,37600,563.0,550,570.0,572.5,,540,547.5,2021-04-19
,,37600,580.0,565,574.0,572.5,,540,547.5,2021-04-26
,,37600,590.0,580,581.0,577.5,,560,572.5,2021-05-03
,,37600,613.5,600,607.5,617.5,,590,595.0,2021-05-10
,,37600,665.0,660,672.5,655.0,,630,652.5,2021-05-17
,,37600,670.0,640,675.0,657.5,,630,665.0,2021-05-24
,,37600,667.5,640,672.5,657.5,,630,635.0,2021-05-31
,,38350,660.0,635,662.5,652.5,,620,635.0,2021-06-07
,,38350,653.5,635,656.0,669.5,,630,635.0,2021-06-14
,,38350,658.0,640,661.5,657.5,,630,635.0,2021-06-21
,,38350,652.5,605,655.0,642.5,,615,635.0,2021-06-28
,,42500,670.0,600,660.0,641.5,,615,635.0,2021-07-05
,,42500,667.5,585,662.5,625.0,,615,627.5,2021-07-12
,,42500,645.0,605,658.5,632.5,,615,627.5,2021-07-19
,,42500,637.5,608,655.0,632.5,,605,585.0,2021-07-26
,,42500,635.0,590,647.5,607.5,,570,585.0,2021-08-02
,,42500,592.5,565,605.0,587.5,,550,575.0,2021-08-09
,,42500,577.5,540,577.5,586.0,,540,555.0,2021-08-16
,,42500,562.5,500,567.5,562.5,,500,545.0,2021-08-23
,,42500,537.5,500,552.5,531.0,,485,535.0,2021-08-30
,,40000,537.5,505,498.5,531.0,,480,535.0,2021-09-06
,,40000,537.5,470,500.0,531.0,,480,542.5,2021-09-13
,,40000,537.5,475,501.5,530.0,,480,547.5,2021-09-20
,,40000,532.5,498,497.5,535.0,,470,550.0,2021-09-27
,,40000,534.0,478,550.0,535.5,,470,550.0,2021-10-04
,,38500,557.5,500,557.5,532.5,,485,557.5,2021-10-11
,,38500,565.0,515,562.5,545.0,,500,567.5,2021-10-18
,,38500,577.5,540,577.5,555.0,,510,567.5,2021-10-25
,,38500,580.0,545,577.5,572.5,,515,552.5,2021-11-01
,,39250,577.5,530,580.0,565.0,,510,542.5,2021-11-08
,,39250,582.5,545,580.0,565.0,,510,542.5,2021-11-15
,,39250,582.5,540,579.0,565.0,,515,515.0,2021-11-22
,,39250,571.5,520,572.5,555.0,,510,505.0,2021-11-29
,,39250,560.0,525,572.5,547.5,,510,500.0,2021-12-06
,,39250,545.0,515,557.5,557.0,,510,495.0,2021-12-13
,,39250,535.0,510,552.5,550.0,,505,505.0,2021-12-20
,,39250,535.0,510,547.5,550.0,,505,505.0,2021-12-27
,,39250,535.0,510,547.5,545.0,,505,505.0,2022-01-03
,,39000,530.0,500,540.0,535.0,,495,535.0,2022-01-10
,,39000,537.5,515,547.5,535.0,,500,542.5,2022-01-17
,,39000,545.0,520,547.5,537.5,,510,552.5,2022-01-24
,,39000,567.5,530,547.5,537.5,,510,552.5,2022-01-31
,,40500,582.5,555,580.0,550.0,,535,552.5,2022-02-07
,,40500,594.0,570,592.5,560.0,,545,565.0,2022-02-14
,,40500,615.0,585,620.0,592.5,,560,570.0,2022-02-21
,,40500,620.0,585,625.0,627.5,,610,565.0,2022-02-28
,,39500,722.5,680,707.5,747.5,,710,595.0,2022-03-07
,,39500,804.0,761,790.0,882.5,,860,610.0,2022-03-14
,,39500,785.0,761,785.0,1000.0,,960,675.0,2022-03-21
,,39500,725.0,780,855.0,1000.0,,960,610.0,2022-03-28
,,39500,725.0,768,845.0,1000.0,,960,610.0,2022-04-04
,,46000,715.0,681,810.0,950.0,,960,605.0,2022-04-11
,,46000,695.0,680,765.0,950.0,,940,570.0,2022-04-18
,,46000,670.0,650,720.0,940.0,525.0,930,572.5,2022-04-25
,,46000,615.0,610,680.0,930.0,500.0,910,555.0,2022-05-02
,,42000,575.0,560,675.0,815.0,515.0,850,555.0,2022-05-09
,,42000,530.0,450,690.0,815.0,490.0,850,535.0,2022-05-16
,,42000,510.0,468,570.0,800.0,490.0,770,515.0,2022-05-23
,,42000,485.0,447,567.5,735.0,470.0,700,465.0,2022-05-30
,,33000,460.0,430,550.0,715.0,480.0,660,510.0,2022-06-06
,,33000,450.0,463,540.0,685.0,475.0,640,515.0,2022-06-13
,,33000,432.5,400,515.0,630.0,445.0,590,487.5,2022-06-20
,,33000,390.0,365,490.0,612.5,430.0,560,460.0,2022-06-27
,,33000,390.0,360,487.5,590.0,400.0,540,425.0,2022-07-04
,,29900,420.0,390,492.5,590.0,530.0,520,430.0,2022-07-11
,,29900,455.0,410,492.5,500.0,520.0,460,425.0,2022-07-18
,,29900,475.0,410,525.0,500.0,390.0,460,400.0,2022-07-25
,,29900,435.0,400,445.0,495.0,390.0,460,422.5,2022-08-01
,,23250,420.0,390,435.0,470.0,390.0,455,422.5,2022-08-08
,,23250,430.0,390,455.0,465.0,465.0,455,422.5,2022-08-15
,,23250,430.0,380,455.0,465.0,360.0,450,425.0,2022-08-22
,,23250,410.0,368,455.0,465.0,425.0,430,445.0,2022-08-29
,,23350,400.0,370,435.0,465.0,415.0,440,425.0,2022-09-05
,,23350,390.0,360,425.0,455.0,390.0,440,415.0,2022-09-12
,,23350,390.0,355,430.0,450.0,380.0,445,405.0,2022-09-19
,,23350,395.0,355,440.0,465.0,380.0,460,405.0,2022-09-26
,,23350,420.0,365,445.0,507.5,410.0,490,415.0,2022-10-03
,,22000,432.5,395,455.0,537.5,390.0,500,425.0,2022-10-10
,,22000,427.5,395,455.0,551.5,470.0,500,422.5,2022-10-17
,,22000,422.5,395,470.0,551.5,450.0,500,410.0,2022-10-24
,,22000,407.5,379,465.0,495.0,430.0,490,400.0,2022-10-31
,,22500,400.0,370,457.5,505.0,420.0,490,385.0,2022-11-07
,,22500,387.5,345,435.0,495.0,370.0,460,375.0,2022-11-14
,,22500,380.0,335,442.5,480.0,370.0,450,375.0,2022-11-21
,,22500,382.5,361,445.0,475.0,360.0,450,375.0,2022-11-28
,,21000,392.5,350,450.0,475.0,370.0,450,400.0,2022-12-05
490.0,,21000,392.5,355,445.0,461.5,378.0,425,407.5,2022-12-12
490.0,425.0,21000,392.5,355,447.5,460.0,410.0,445,422.5,2022-12-19
500.0,440.0,21000,400.0,359,447.5,460.0,410.0,455,425.0,2022-12-26
500.0,440.0,21000,402.5,370,452.5,460.0,415.0,455,430.0,2023-01-02
500.0,450.0,22500,422.5,377,457.5,487.5,415.0,460,425.0,2023-01-09
525.0,467.0,22500,448.5,405,457.5,501.0,425.0,470,457.5,2023-01-16
515.0,467.0,22500,452.5,400,455.0,501.0,425.0,471,457.5,2023-01-23
515.0,475.0,22500,442.5,400,465.0,502.5,425.0,485,457.5,2023-01-30
525.0,475.0,24000,477.5,410,512.5,502.5,410.0,485,450.0,2023-02-06
535.0,490.0,24000,457.5,415,505.0,516.0,488.0,500,445.0,2023-02-13
550.0,495.0,24000,465.0,423,500.0,525.0,410.0,505,447.5,2023-02-20
552.5,500.0,24000,455.0,423,502.5,532.5,450.0,510,455.0,2023-02-27
552.5,505.0,25500,467.5,430,500.0,550.0,450.0,520,447.5,2023-03-06
555.0,520.0,25500,475.0,452,502.5,555.0,480.0,530,447.5,2023-03-13
