coking_coil_russia_kc_rub_tonn_ship_fca,coking_coil_k_russia_ko_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_russia_rub_tonn_ship_fca,coking_coil_australia_dollar_tonn_ship_fob,coking_coil_average_size_russia_rub_tonn_ship_fca,coking_coil_russia_siberia_rub_tonn_ship_fca,coking_coil_russia_oc_rub_tonn_ship_fca,coking_coil_russia_ko_rub_tonn_ship_fca,dt
3300,4500,4300,4700.0,3350.0,106,3890,6900,3850,3700.0,2015-02-09
3300,4500,4300,4700.0,3350.0,106,3890,6900,3850,3700.0,2015-02-16
3300,4500,4300,4700.0,3350.0,103,3890,6900,3850,3700.0,2015-02-23
3300,4500,4300,4700.0,3350.0,103,3890,6900,3850,3700.0,2015-03-02
3750,4700,4100,4700.0,3525.0,103,4164,8750,4400,4050.0,2015-03-09
3750,4700,4100,4700.0,3525.0,102,4164,8750,4400,4050.0,2015-03-16
3750,4700,4100,4700.0,3525.0,101,4164,8750,4400,4050.0,2015-03-23
3750,4700,4100,4700.0,3525.0,98,4164,8750,4400,4050.0,2015-03-30
3750,4700,4100,4700.0,3525.0,95,4941,8750,4400,4050.0,2015-04-06
4400,5700,4800,5550.0,3850.0,92,4941,10350,5350,5200.0,2015-04-13
4400,5700,4800,5550.0,3850.0,90,4941,10350,5350,5200.0,2015-04-20
4400,5700,4800,5550.0,3850.0,88,4941,10350,5350,5200.0,2015-04-27
4400,5700,4800,5550.0,3850.0,86,4925,10350,5350,5200.0,2015-05-04
4400,5700,4800,5550.0,3850.0,82,4925,9900,5250,5200.0,2015-05-11
4400,5700,4800,5550.0,3850.0,82,4925,9900,5250,5200.0,2015-05-18
4400,5700,4800,5550.0,3850.0,81,4925,9900,5250,5200.0,2015-05-25
4400,5700,4800,5550.0,3850.0,82,4925,9900,5250,5200.0,2015-06-01
4250,5550,4800,5400.0,3850.0,83,4838,9400,5150,5000.0,2015-06-08
4250,5550,4800,5400.0,3850.0,85,4838,9400,5150,5000.0,2015-06-15
4250,5550,4800,5400.0,3850.0,87,4838,9400,5150,5000.0,2015-06-22
4250,5550,4800,5400.0,3850.0,88,4838,9400,5150,5000.0,2015-06-29
3300,4550,4500,4400.0,3525.0,87,4108,9050,4150,4000.0,2015-07-06
3300,4550,4500,4400.0,3525.0,87,4108,9050,4150,4000.0,2015-07-13
3300,4550,4500,4400.0,3525.0,84,4108,9050,4150,4000.0,2015-07-20
3300,4550,4500,4400.0,3525.0,80,4108,9050,4150,4000.0,2015-07-27
3300,4550,4500,4400.0,3525.0,79,4108,9050,4150,4000.0,2015-08-03
3300,4550,4200,4400.0,3300.0,83,4001,8800,4150,4000.0,2015-08-10
3300,4550,4200,4400.0,3300.0,83,4001,8800,4150,4000.0,2015-08-17
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-08-24
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-08-31
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-09-07
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-09-14
3300,4550,4200,4400.0,3300.0,81,4001,8800,4150,4000.0,2015-09-21
3300,4550,4200,4400.0,3300.0,80,4001,8800,4150,4000.0,2015-09-28
3300,4550,4200,4400.0,3300.0,79,4001,8800,4150,4000.0,2015-10-05
3450,4750,4650,5000.0,3800.0,80,4335,9100,4375,4200.0,2015-10-12
3450,4750,4650,5000.0,3800.0,79,4335,9100,4375,4200.0,2015-10-19
3450,4750,4650,5000.0,3800.0,78,4335,9100,4375,4200.0,2015-10-26
3450,4750,4650,5000.0,3800.0,77,4335,9100,4375,4200.0,2015-11-02
3450,4750,4650,5000.0,3800.0,76,4335,9000,4375,4200.0,2015-11-09
3450,4750,4650,5000.0,3800.0,74,4335,9000,4375,4200.0,2015-11-16
3450,4750,4650,5000.0,3800.0,73,4335,9000,4375,4200.0,2015-11-23
3450,4750,4650,5000.0,3800.0,72,4335,9000,4375,4200.0,2015-11-30
3450,4750,4650,5000.0,3800.0,74,4335,9000,4375,4200.0,2015-12-07
3450,4750,4650,5000.0,3800.0,75,4335,9000,4375,4200.0,2015-12-14
3450,4750,4650,5000.0,3800.0,75,4335,9000,4375,4200.0,2015-12-21
3450,4750,4650,5000.0,3800.0,76,4335,9000,4375,4200.0,2015-12-28
3450,4750,4650,5000.0,3800.0,76,4335,9000,4375,4200.0,2016-01-04
3450,4700,4650,5000.0,3800.0,77,4335,9000,4325,4200.0,2016-01-11
3450,4700,4650,5000.0,3800.0,77,4322,9000,4325,4200.0,2016-01-18
3450,4700,4650,5000.0,3800.0,75,4322,9000,4325,4200.0,2016-01-25
3450,4700,4650,5000.0,3800.0,75,4322,9000,4325,4200.0,2016-02-01
3450,4700,4650,5000.0,3800.0,74,4322,8650,4325,4200.0,2016-02-08
3450,4700,4650,5000.0,3800.0,73,4322,8650,4325,4200.0,2016-02-15
3450,4700,4650,5000.0,3800.0,74,4322,8650,4325,4200.0,2016-02-22
3450,4700,4650,5000.0,3800.0,76,4322,8650,4325,4200.0,2016-02-29
3450,4700,4650,5000.0,3800.0,79,4322,8650,4325,4200.0,2016-03-07
3450,4700,4650,5000.0,3800.0,79,4322,8650,4325,4200.0,2016-03-14
3450,4700,4650,5000.0,3800.0,80,4322,8650,4325,4200.0,2016-03-21
3450,4700,4650,5000.0,3800.0,80,4322,8650,4325,4200.0,2016-03-28
3450,4700,4650,5000.0,3800.0,82,4322,8650,4325,4200.0,2016-04-04
3550,5150,5075,5400.0,4100.0,86,4642,8850,4575,4400.0,2016-04-11
3550,5150,5075,5400.0,4100.0,90,4642,8850,4575,4400.0,2016-04-18
3550,5150,5075,5400.0,4100.0,94,4642,8850,4575,4400.0,2016-04-25
3550,5150,5075,5400.0,4100.0,97,4642,8850,4575,4400.0,2016-05-02
3550,5150,5075,5400.0,4100.0,96,4642,8850,4575,4400.0,2016-05-09
3550,5150,5075,5400.0,4100.0,94,4642,8850,4575,4400.0,2016-05-16
3550,5150,5075,5400.0,4100.0,91,4642,8850,4575,4400.0,2016-05-23
3550,5150,5075,5400.0,4100.0,86,4642,8850,4575,4400.0,2016-05-30
3550,5150,5075,5400.0,4100.0,87,4642,8875,4575,4400.0,2016-06-06
3550,5150,5075,5400.0,4100.0,90,4642,8875,4575,4400.0,2016-06-13
3550,5150,5075,5400.0,4100.0,91,4642,8875,4575,4400.0,2016-06-20
3550,5150,5075,5400.0,4100.0,91,4642,8875,4575,4400.0,2016-06-27
3550,5150,5075,5400.0,4100.0,91,4642,8875,4575,4400.0,2016-07-04
3550,5150,5075,5400.0,3900.0,92,4622,9025,4575,4400.0,2016-07-11
3550,5150,5075,5400.0,3900.0,96,4622,9025,4575,4400.0,2016-07-18
3550,5150,5075,5400.0,3900.0,97,4622,9025,4575,4400.0,2016-07-25
3550,5150,5075,5400.0,3900.0,100,4622,9025,4575,4400.0,2016-08-01
3550,5150,5075,5400.0,3975.0,103,4630,9225,4575,4400.0,2016-08-08
3550,5150,5075,5400.0,3975.0,106,4630,9225,4575,4400.0,2016-08-15
3550,5150,5075,5400.0,3975.0,114,4630,9225,4575,4400.0,2016-08-22
3550,5150,5075,5400.0,3975.0,124,4630,9225,4575,4400.0,2016-08-29
3550,5150,5075,5400.0,4050.0,139,4637,9525,4575,4400.0,2016-09-05
3550,5150,5075,5400.0,4050.0,166,4637,9525,4575,4400.0,2016-09-12
3550,5150,5075,5400.0,4050.0,199,4637,9525,4575,4400.0,2016-09-19
3550,5150,5075,5400.0,4050.0,206,4637,9525,4575,4400.0,2016-09-26
3550,5150,5075,5400.0,4050.0,209,4637,9525,4575,4400.0,2016-10-03
5850,8150,7700,8100.0,6050.0,211,7156,12900,7100,6450.0,2016-10-10
5850,8150,7700,8100.0,6050.0,222,7156,12900,7100,6450.0,2016-10-17
5850,8150,7700,8100.0,6050.0,239,7156,12900,7100,6450.0,2016-10-24
5850,8150,7700,8100.0,6050.0,250,7156,12900,7100,6450.0,2016-10-31
5850,8150,8700,8450.0,6625.0,265,7522,12900,7100,6450.0,2016-11-07
5850,8150,8700,8450.0,6625.0,302,7522,12900,7100,6450.0,2016-11-14
5850,8150,8700,8450.0,6625.0,306,7522,12900,7100,6450.0,2016-11-21
5850,8150,8700,8450.0,6625.0,304,7522,12900,7100,6450.0,2016-11-28
5850,8150,8700,8700.0,6650.0,301,7552,12900,7100,6450.0,2016-12-05
5850,8150,8700,8700.0,6650.0,289,7552,13100,7100,6450.0,2016-12-12
5850,8150,8700,8700.0,6650.0,254,7552,13100,7100,6450.0,2016-12-19
5850,8150,8700,8700.0,6650.0,245,7552,13100,7100,6450.0,2016-12-26
5850,8150,8700,8700.0,6650.0,228,7552,13100,7100,6450.0,2017-01-02
6300,10650,11750,10700.0,8475.0,210,9311,13725,7375,6450.0,2017-01-09
6300,10650,11750,10700.0,8475.0,188,9311,13725,7375,6450.0,2017-01-16
6300,10650,11750,10700.0,8475.0,176,9311,13725,7375,6450.0,2017-01-23
6300,10650,11750,10700.0,8475.0,173,9311,13725,7375,6450.0,2017-01-30
8250,13500,12750,12600.0,9150.0,171,11326,17500,12250,9250.0,2017-02-06
8250,13500,12750,12600.0,9150.0,168,11326,17500,12250,9250.0,2017-02-13
8250,13500,12750,12600.0,9150.0,155,11326,17500,12250,9250.0,2017-02-20
8250,13500,12750,12600.0,9150.0,159,11326,17500,12250,9250.0,2017-02-27
8250,13500,12750,12600.0,9050.0,162,11288,17500,12000,9150.0,2017-03-06
8250,13500,12750,12600.0,9050.0,161,11288,17500,12000,9150.0,2017-03-13
8250,13500,12750,12600.0,9050.0,160,11288,17500,12000,9150.0,2017-03-20
8250,13500,12750,12600.0,9050.0,155,11288,17500,12000,9150.0,2017-03-27
8250,13500,12750,12600.0,9050.0,155,11288,17500,12000,9150.0,2017-04-03
5550,9000,7900,8300.0,5675.0,214,7242,14775,7400,5650.0,2017-04-10
5550,9000,7900,8300.0,5675.0,285,7242,14775,7400,5650.0,2017-04-17
5550,9000,7900,8300.0,5675.0,268,7242,14775,7400,5650.0,2017-04-24
5550,9000,7900,8300.0,5675.0,231,7242,14775,7400,5650.0,2017-05-01
5550,9000,7850,8150.0,5850.0,201,7230,14775,7400,5650.0,2017-05-08
5550,9000,7850,8150.0,5850.0,174,7230,14775,7400,5650.0,2017-05-15
5550,9000,7850,8150.0,5850.0,159,7230,14775,7400,5650.0,2017-05-22
5550,9000,7850,8150.0,5850.0,154,7230,14775,7400,5650.0,2017-05-29
5550,9000,7850,8150.0,5825.0,152,7227,14550,7400,5650.0,2017-06-05
5550,9000,7850,8150.0,5825.0,149,7227,14550,7400,5650.0,2017-06-12
5550,9000,7850,8150.0,5825.0,142,7227,14550,7400,5650.0,2017-06-19
5550,9000,7850,8150.0,5825.0,143,7227,14550,7400,5650.0,2017-06-26
5550,9000,7850,8150.0,5825.0,148,7227,14550,7400,5650.0,2017-07-03
5200,7900,7200,7700.0,5600.0,152,6674,12250,6800,5600.0,2017-07-10
5200,7900,7200,7700.0,5600.0,160,6674,12250,6800,5600.0,2017-07-17
5200,7900,7200,7700.0,5600.0,169,6674,12800,6800,5600.0,2017-07-24
5200,7900,7200,7700.0,5600.0,176,6674,12800,6800,5600.0,2017-07-31
5200,7900,7200,7700.0,5600.0,181,6674,12800,6800,5600.0,2017-08-07
5200,7900,7200,7700.0,5600.0,191,6674,12650,6800,5600.0,2017-08-14
5200,7900,7200,7700.0,5600.0,193,6674,12650,6800,5600.0,2017-08-21
5200,7900,7200,7700.0,5600.0,201,6674,12650,6800,5600.0,2017-08-28
5200,7900,7200,7700.0,5600.0,208,6674,12650,6800,5600.0,2017-09-04
5200,7900,7200,7700.0,5850.0,210,6699,12650,6800,5600.0,2017-09-11
5200,7900,7200,7700.0,5850.0,207,6699,12650,6800,5600.0,2017-09-18
5200,7900,7200,7700.0,5850.0,198,6699,12650,6800,5600.0,2017-09-25
5200,7900,7200,7700.0,5850.0,190,6699,12650,6800,5600.0,2017-10-02
6125,10050,8400,9450.0,6675.0,186,8199,16300,9300,7600.0,2017-10-09
6125,10050,8400,9450.0,6675.0,182,8199,16300,9300,7600.0,2017-10-16
6125,10050,8400,9450.0,6675.0,180,8199,16300,9300,7600.0,2017-10-23
6125,10050,8400,9450.0,6675.0,181,8199,16300,9300,7600.0,2017-10-30
5900,9500,8400,9450.0,6675.0,177,8023,16025,8800,7600.0,2017-11-06
5900,9500,8400,9450.0,6675.0,181,8023,16025,8800,7600.0,2017-11-13
5900,9500,8400,9450.0,6675.0,188,8023,16025,8800,7600.0,2017-11-20
5900,9500,8400,9450.0,6675.0,198,8023,16025,8800,7600.0,2017-11-27
5900,9500,8400,9450.0,6675.0,205,8023,16025,8800,7600.0,2017-12-04
6400,9400,8400,9450.0,6675.0,220,8093,15850,8700,7600.0,2017-12-11
6400,9400,8400,9450.0,6675.0,226,8093,15850,8700,7600.0,2017-12-18
6400,9400,8400,9450.0,6675.0,240,8093,15850,8700,7600.0,2017-12-25
6400,9400,8400,9450.0,6675.0,250,8093,15850,8700,7600.0,2018-01-01
7225,10425,9800,10850.0,7050.0,249,9118,15750,9850,8000.0,2018-01-08
7225,10425,9800,10850.0,7050.0,247,9118,15750,9850,8000.0,2018-01-15
7225,10425,9800,10850.0,7050.0,228,9118,15750,9850,8000.0,2018-01-22
7225,10425,9800,10850.0,7050.0,212,9118,15750,9850,8000.0,2018-01-29
8075,11925,10550,11250.0,7350.0,213,9922,15425,11000,8237.5,2018-02-05
8075,11925,10550,11250.0,7350.0,223,9922,15425,11000,8237.5,2018-02-12
8075,11925,10550,11250.0,7350.0,228,9922,15425,11000,8237.5,2018-02-19
8075,11925,10550,11250.0,7350.0,229,9922,15425,11000,8237.5,2018-02-26
7375,11000,10550,11250.0,7350.0,230,9545,15275,9925,8237.5,2018-03-05
7375,11000,10550,11250.0,7350.0,230,9545,15275,9925,8237.5,2018-03-12
7375,11000,10550,11250.0,7350.0,214,9545,15275,9925,8237.5,2018-03-19
7375,11000,10550,11250.0,7350.0,208,9545,15275,9925,8237.5,2018-03-26
7375,11000,10550,11250.0,7350.0,196,9545,15275,9925,8237.5,2018-04-02
7425,11100,8900,9812.5,6650.0,195,8888,15075,9950,8087.5,2018-04-09
7425,11100,8900,9812.5,6650.0,191,8888,15075,9950,8087.5,2018-04-16
7425,11100,8900,9812.5,6650.0,184,8888,15075,9950,8087.5,2018-04-23
7425,11100,8900,9812.5,6650.0,177,8888,15075,9950,8087.5,2018-04-30
6875,10350,8900,9812.5,6650.0,179,8608,14675,9350,8087.5,2018-05-07
6875,10350,8900,9812.5,6650.0,185,8608,14675,9350,8087.5,2018-05-14
6875,10350,8900,9812.5,6650.0,185,8608,14675,9350,8087.5,2018-05-21
6875,10350,8900,9812.5,6650.0,184,8608,14675,9350,8087.5,2018-05-28
6875,10350,8900,9812.5,6650.0,190,8608,14675,9350,8087.5,2018-06-04
6675,10150,9325,9812.5,6550.0,195,8653,13875,9500,8087.5,2018-06-11
6675,10150,9325,9812.5,6550.0,198,8653,13875,9500,8087.5,2018-06-18
6675,10150,9325,9812.5,6550.0,198,8653,13875,9500,8087.5,2018-06-25
6675,10150,9325,9812.5,6550.0,197,8653,13875,9500,8087.5,2018-07-02
6925,10250,9150,10125.0,6550.0,198,8692,13500,9425,8000.0,2018-07-09
6925,10250,9150,10125.0,6550.0,180,8692,13500,9425,8000.0,2018-07-16
6925,10250,9150,10125.0,6550.0,177,8692,13500,9425,8000.0,2018-07-23
6925,10250,9150,10125.0,6550.0,173,8692,13500,9425,8000.0,2018-07-30
6950,10350,9150,10125.0,6875.0,173,8760,13425,9600,8000.0,2018-08-06
6950,10350,9150,10125.0,6875.0,180,8760,13425,9600,8000.0,2018-08-13
6950,10350,9150,10125.0,6875.0,182,8760,13425,9600,8000.0,2018-08-20
6950,10350,9150,10125.0,6875.0,182,8760,13425,9600,8000.0,2018-08-27
6950,10350,9150,10125.0,6875.0,182,8760,13425,9600,8000.0,2018-09-03
6700,9925,9250,10125.0,6875.0,187,8629,13550,9175,7950.0,2018-09-10
6700,9925,9250,10125.0,6875.0,199,8629,13550,9175,7950.0,2018-09-17
6700,9925,9250,10125.0,6875.0,204,8629,13550,9175,7950.0,2018-09-24
6700,9925,9250,10125.0,6875.0,200,8629,13550,9175,7950.0,2018-10-01
6850,10300,9250,10300.0,6725.0,210,8770,13225,9725,7950.0,2018-10-08
6850,10300,9250,10300.0,6725.0,211,8770,13225,9725,7950.0,2018-10-15
6850,10300,9250,10300.0,6725.0,214,8770,13225,9725,7950.0,2018-10-22
6850,10300,9250,10300.0,6725.0,214,8770,13225,9725,7950.0,2018-10-29
7050,10825,9250,10600.0,6650.0,215,8960,13375,10200,7950.0,2018-11-05
7050,10825,9250,10600.0,6650.0,216,8960,13375,10200,7950.0,2018-11-12
7050,10825,9250,10600.0,6650.0,219,8960,13375,10200,7950.0,2018-11-19
7050,10825,9250,10600.0,6650.0,218,8960,13375,10200,7950.0,2018-11-26
7050,10825,9250,10600.0,6650.0,216,8960,13375,10200,7950.0,2018-12-03
7150,11100,9250,10700.0,6650.0,222,9055,13375,10425,7950.0,2018-12-10
7150,11100,9250,10700.0,6650.0,219,9055,13375,10425,7950.0,2018-12-17
7150,11100,9250,10700.0,6650.0,218,9055,13375,10425,7950.0,2018-12-24
7150,11100,9250,10700.0,6650.0,211,9055,13375,10425,7950.0,2018-12-31
7350,11400,9250,11425.0,6650.0,203,9246,13450,10700,7950.0,2019-01-07
7350,11400,9250,11425.0,6650.0,197,9246,13450,10700,7950.0,2019-01-14
7350,11400,9250,11425.0,6650.0,190,9246,13450,10700,7950.0,2019-01-21
7350,11400,9250,11425.0,6650.0,194,9246,13450,10700,7950.0,2019-01-28
7350,11400,9250,11425.0,6650.0,200,9246,13450,10700,7950.0,2019-02-04
7150,11125,10150,11200.0,6725.0,199,9331,13625,10250,7700.0,2019-02-11
7150,11125,10150,11200.0,6725.0,202,9331,13625,10250,7700.0,2019-02-18
