scrap_3a_siberia_rub_tonn_train_cpt,scrap_hms_turkey_dollar_tonn_ship_cfr,scrap_3a_russia_moscow_rub_tonn_train_fca,scrap_3a_russia_ural_rub_tonn_ship_cpt,scrap_3a_south_rub_tonn_train_cpt,scrap_3a_russia_south_rub_tonn_auto_cpt,scrap_hms_rotterdam_dollar_tonn_ship_fob,scrap_3a_russia_central_rub_tonn_ship_fca,scrap_3a_russia_central_rub_tonn_ship_fca,scrap_3a_russia_ural_rub_tonn_auto_cpt,scrap_3a_russia_siberia_rub_tonn_train_fca,scrap_hms_usa_dollar_tonn_ship_fob,scrap_3a_central_rub_tonn_train_cpt,scrap_3a_russia_tatar_rub_tonn_fca,scrap_3a_russia_south_dollar_tonn_ship_fob,scrap_3a_russia_ural_rub_tonn_ship_fca,scrap_3a_russia_ural_rub_tonn_ship_fca,scrap_3a_russia_siberia_rub_tonn_ship_fca,scrap_3a_russia_north_rub_tonn_ship_fca,scrap_3a_russia_central_rub_tonn_auto_cpt,scrap_hms_uva_dollar_tonn_ship_cfr,scrap_b26_alloyed_russia_rub_tonn_ship_cpt,dt
10009,246,11870,11598,12344,,228,,,,,221,12728,11573,221,,,,,,248,,2015-02-09
10432,243,12088,11794,12271,,206,,,,,221,12852,11746,213,,,,,,248,,2015-02-16
11981,241,12503,12047,12645,,207,,,,,215,13034,11930,208,,,,,,248,,2015-02-23
11912,249,12439,12253,12696,,214,,,,,224,12910,12100,215,,,,,,248,,2015-03-02
12061,257,12020,12183,12916,,232,,,,,229,12964,11774,221,,,,,,248,,2015-03-09
11893,256,12093,12140,12883,,229,,,,,231,12812,11733,223,,,,,,248,,2015-03-16
11945,254,11763,12139,12753,,230,,,,,230,12694,11540,220,,,,,,253,,2015-03-23
11853,256,11719,12113,12521,,231,,,,,233,12569,11579,221,,,,,,254,,2015-03-30
11785,262,11250,12369,12395,,235,,,,,236,12421,11378,229,,,,,,258,,2015-04-06
11327,263,11327,12324,12220,,238,,,,,236,12146,11056,229,,,,,,258,,2015-04-13
11050,267,10555,12109,11830,,245,,,,,241,11716,10613,238,,,,,,258,,2015-04-20
11091,274,10066,11705,11083,,250,,,,,248,11035,10456,243,,,,,,258,,2015-04-27
11167,276,9758,10970,10714,,251,,,,,249,10865,9996,244,,,,,,258,,2015-05-04
11270,285,9432,10589,10558,,259,,,,,257,10463,9371,252,,,,,,260,,2015-05-11
10723,288,9386,10539,10269,,265,,,,,264,10454,9234,255,,,,,,265,,2015-05-18
9744,283,9290,10383,10042,,263,,,,,262,10315,8990,250,,,,,,265,,2015-05-25
9586,280,9299,10210,10075,,262,,,,,258,10333,8704,245,,,,,,265,,2015-06-01
9540,279,9318,10158,10485,,261,,,,,258,10268,8833,239,,,,,,265,,2015-06-08
8646,279,9319,10156,10468,,261,,,,,258,10225,8812,242,,,,,,270,,2015-06-15
8816,273,9334,10122,10488,,257,,,,,255,10232,8867,239,,,,,,270,,2015-06-22
8801,266,9432,10099,10482,,237,,,,,236,10245,8818,229,,,,,,270,,2015-06-29
8805,252,9599,10115,10605,,224,,,,,225,10417,8877,223,,,,,,248,,2015-07-06
8907,240,9943,10072,10791,,219,,,,,213,10682,8963,212,,,,,,248,,2015-07-13
8745,225,10141,10014,10867,,201,,,,,201,10880,8993,194,,,,,,231,,2015-07-20
8646,227,10141,10013,10996,,201,,,,,201,10883,8939,203,,,,,,225,,2015-07-27
8896,233,10143,9974,11068,,208,,,,,205,10838,8830,208,,,,,,218,,2015-08-03
8990,240,10087,9934,11059,,215,,,,,211,10840,8770,208,,,,,,218,,2015-08-10
9007,243,10106,9960,11078,,211,,,,,215,10823,8755,212,,,,,,220,,2015-08-17
8863,236,10137,9953,11010,,204,,,,,210,10853,8795,212,,,,,,220,,2015-08-24
9086,231,10178,10004,11044,,211,,,,,215,10841,8862,207,,,,,,220,,2015-08-31
9299,220,10233,10232,11159,,201,,,,,200,10961,8939,202,,,,,,210,,2015-09-07
9282,206,10212,10374,11210,,184,,,,,189,10946,8923,183,,,,,,205,,2015-09-14
9206,202,10201,10411,11237,,180,,,,,188,10949,8887,181,,,,,,205,,2015-09-21
9585,194,10024,10458,11367,,170,,,,,178,10718,8969,172,,,,,,198,,2015-09-28
9553,187,10043,10474,11357,,165,,,,,175,10670,9209,165,,,,,,188,,2015-10-05
9574,178,9928,10552,11310,,154,,,,,167,10531,9382,163,,,,,,183,,2015-10-12
9554,170,9746,10620,11182,,153,,,,,159,10400,9316,154,,,,,,183,,2015-10-19
9582,173,9679,10652,11052,,154,,,,,158,10384,9354,151,,,,,,173,,2015-10-26
9485,186,9242,10625,10624,,167,,,,,164,10008,9444,158,,,,,,173,,2015-11-02
9195,195,8991,10437,10529,,174,,,,,178,9850,9236,166,,,,,,173,,2015-11-09
8938,200,8618,10356,10142,,182,,,,,180,9541,9053,175,,,,,,173,,2015-11-16
8844,196,8259,9808,9428,,181,,,,,179,9154,8416,173,,,,,,173,,2015-11-23
8878,191,8160,9381,9133,,180,,,,,179,9052,8036,168,,,,,,173,,2015-11-30
8660,190,8112,9350,9103,,176,,,,,178,9138,8002,163,,,,,,173,,2015-12-07
8330,187,8115,9326,9143,,176,,,,,178,9142,8067,161,,,,,,173,,2015-12-14
8016,187,8050,8888,9268,,174,,,,,175,9135,7813,160,,,,,,173,,2015-12-21
8134,186,8064,8934,9337,,172,,,,,168,9116,7638,158,,,,,,173,,2015-12-28
8077,189,8067,8973,9332,,172,,,,,168,9095,7554,160,,,,,,173,,2016-01-04
8058,188,7826,8963,9428,,173,,,,,174,9221,7439,160,,,,,,173,,2016-01-11
8387,186,8090,8981,9240,,173,,,,,175,9089,7538,159,,,,,,173,,2016-01-18
8361,181,8176,9023,9272,,172,,,,,174,9126,7649,156,,,,,,174,,2016-01-25
8860,177,8247,9067,9339,,165,,,,,168,9231,7650,153,,,,,,177,,2016-02-01
9094,176,8366,9011,9249,,165,,,,,167,9428,7916,150,,,,,,177,,2016-02-08
9094,175,8502,9224,9442,,164,,,,,168,9540,8037,148,,,,,,176,,2016-02-15
9177,175,8603,9232,9335,,166,,,,,170,9664,8163,150,,,,,,177,,2016-02-22
8899,188,8729,9276,9408,,177,,,,,182,9745,8007,160,,,,,,177,,2016-02-29
9266,195,8760,9373,9437,,189,,,,,190,9724,7993,169,,,,,,182,,2016-03-07
8946,208,9023,9501,9887,,203,,,,,206,9729,8604,186,,,,,,200,,2016-03-14
8800,220,9462,9711,9933,,214,,,,,215,10195,8865,191,,,,,,210,,2016-03-21
8900,227,9745,9836,9990,,217,,,,,217,10444,8942,200,,,,,,228,,2016-03-28
8700,232,9847,9847,9901,,225,,,,,229,10595,9096,208,,,,,,238,,2016-04-04
9006,258,9857,10284,10292,,240,,,,,244,10673,9097,223,,,,,,243,,2016-04-11
8701,268,9924,10461,10153,,257,,,,,261,10732,9268,242,,,,,,248,,2016-04-18
8760,293,10402,10579,10120,,274,,,,,277,11019,9717,255,,,,,,268,,2016-04-25
8734,309,10849,10763,10471,,289,,,,,289,11567,10325,271,,,,,,275,,2016-05-02
8788,327,11034,10978,11395,,309,,,,,315,11860,10585,288,,,,,,305,,2016-05-09
10887,299,11282,11980,12611,,299,,,,,306,12128,10986,271,,,,,,285,,2016-05-16
10862,296,11403,12248,12380,,289,,,,,302,12196,11022,254,,,,,,270,,2016-05-23
10793,275,11810,12613,12420,,274,,,,,288,12443,11457,199,,,,,,250,,2016-05-30
11245,255,11984,12801,12587,,251,,,,,254,12890,11276,195,,,,,,230,,2016-06-06
11222,232,11884,12570,12587,,216,,,,,217,12802,11296,198,,,,,,225,,2016-06-13
11117,228,11643,12311,12827,,211,,,,,215,12540,11213,193,,,,,,233,,2016-06-20
11051,221,11323,12160,12750,,211,,,,,222,12171,11015,194,,,,,,233,,2016-06-27
9292,217,10824,11178,12157,,203,,,,,207,12045,10216,193,,,,,,233,,2016-07-04
9427,212,10444,11159,11872,,202,,,,,203,11352,9895,185,,,,,,226,,2016-07-11
9273,218,10419,11023,11488,,202,,,,,204,11350,9705,187,,,,,,226,,2016-07-18
9242,225,10193,11030,11392,,210,,,,,208,11269,9524,200,,,,,,226,,2016-07-25
9162,229,10197,10479,11309,,213,,,,,217,11248,9532,201,,,,,,226,,2016-08-01
9446,229,10411,10607,11239,,212,,,,,217,11230,9593,201,,,,,,228,,2016-08-08
9424,228,10515,10802,11354,,213,,,,,217,11421,9971,197,,,,,,228,,2016-08-15
9446,224,10607,10858,11519,,208,,,,,217,11509,10190,200,,,,,,225,,2016-08-22
10509,225,10750,11265,11484,,216,,,,,217,11664,10287,195,,,,,,225,,2016-08-29
10694,225,11036,11689,11336,,210,,,,,217,11876,10344,196,,,,,,226,,2016-09-05
10918,223,11352,12011,11512,,209,,,,,217,12191,10542,191,,,,,,225,,2016-09-12
11193,218,11495,12257,11489,,208,,,,,212,12420,10720,188,,,,,,236,,2016-09-19
11153,210,11623,12321,11403,,204,,,,,209,12568,10937,188,,,,,,230,,2016-09-26
11111,210,11721,12279,11612,,196,,,,,196,12591,11062,181,,,,,,223,,2016-10-03
11304,215,12201,13247,12954,,201,,,,,203,13005,11807,186,,,,,,223,,2016-10-10
11273,220,12182,13132,12869,,206,,,,,208,13017,11839,194,,,,,,223,,2016-10-17
11552,228,12203,13125,12672,,213,,,,,217,12976,11878,208,,,,,,228,,2016-10-24
11786,235,11917,12621,12716,,221,,,,,221,12682,11589,206,,,,,,228,,2016-10-31
11792,253,11819,12713,12660,,237,,,,,240,12548,11729,213,,,,,,233,,2016-11-07
11584,269,11800,12866,12564,,252,,,,,255,12483,11742,236,,,,,,260,,2016-11-14
11719,272,12108,12932,12917,,255,,,,,262,12729,11858,240,,,,,,273,,2016-11-21
11561,270,12556,13254,13434,,250,,,,,261,13377,12196,236,,,,,,273,,2016-11-28
11894,268,13021,13702,13500,,248,,,,,259,13950,12873,233,,,,,,271,,2016-12-05
12144,267,13600,14300,14417,,245,,,,,259,14492,13335,230,,,,,,270,,2016-12-12
13327,279,14403,14942,15094,,251,,,,,270,15385,14171,255,,,,,,285,,2016-12-19
13377,292,14969,15269,15561,,259,,,,,283,15869,14354,263,,,,,,285,,2016-12-26
13393,292,15046,15323,16085,,259,,,,,283,15878,14467,263,,,,,,285,,2017-01-02
13553,292,15038,15322,15579,,259,,,,,283,15705,14420,263,,,,,,285,,2017-01-09
13449,288,15072,15312,16093,,256,,,,,280,15861,14583,260,,,,,,281,,2017-01-16
13468,280,14887,15315,15659,,249,,,,,275,15838,14478,253,,,,,,277,,2017-01-23
13396,250,14812,15328,15439,,219,,,,,246,15868,14480,223,,,,,,265,,2017-01-30
13426,235,14607,15303,15233,,206,,,,,235,15642,14685,209,,,,,,265,,2017-02-06
13381,251,14201,15412,14945,,222,,,,,246,15229,14280,222,,,,,,265,,2017-02-13
13348,275,13780,15315,14799,,246,,,,,270,14854,14234,245,,,,,,280,,2017-02-20
13155,282,13357,14552,14729,,254,,,,,277,14506,13702,252,,,,,,280,,2017-02-27
13098,285,13070,13624,14708,,259,,,,,280,14184,12842,255,,,,,,285,,2017-03-06
12284,299,12744,13321,14310,,269,,,,,287,13438,12538,271,,,,,,290,,2017-03-13
12269,298,12395,13198,14112,,268,,,,,285,13515,12330,270,,,,,,287,,2017-03-20
11824,276,12440,13263,13877,,250,,,,,265,13479,12385,257,,,,,,280,,2017-03-27
11814,267,12408,13316,13792,,241,,,,,255,13477,12348,249,,,,,,280,,2017-04-03
11738,275,12281,13269,13543,,247,,,,,260,13400,12384,255,,,,,,280,,2017-04-10
11707,274,12245,13199,13631,,246,,,,,258,13392,12310,254,,,,,,275,,2017-04-17
11652,265,12192,13215,13731,,238,,,,,249,13268,12225,243,,,,,,275,,2017-04-24
11580,263,12230,13174,13742,,238,,,,,246,13298,12235,239,,,,,,270,,2017-05-01
11576,274,12189,13211,13627,,252,,,,,257,13275,12270,250,,,,,,275,,2017-05-08
11599,273,12170,13209,13442,,251,,,,,255,13168,12273,249,,,,,,275,,2017-05-15
11566,273,12107,13157,13558,,250,,,,,255,13095,12302,248,,,,,,275,,2017-05-22
11547,271,12017,13136,13576,,246,,,,,253,13080,12298,247,,,,,,270,,2017-05-29
11542,271,11896,12885,13563,,246,,,,,253,12995,12152,247,,,,,,265,,2017-06-05
11564,272,11708,12828,13437,,247,,,,,253,12815,12029,248,,,,,,265,,2017-06-12
11545,274,11668,12575,13389,,249,,,,,254,12826,11762,250,,,,,,265,,2017-06-19
11552,280,11677,12376,12917,,253,,,,,256,12821,11580,254,,,,,,265,,2017-06-26
11545,288,11715,12369,12932,,262,,,,,267,12814,11609,263,,,,,,275,,2017-07-03
11119,295,11695,12478,12925,,270,,,,,271,12808,11568,270,,,,,,280,,2017-07-10
11124,297,11663,12606,13107,,271,,,,,273,12803,11583,273,,,,,,290,,2017-07-17
11608,302,11862,12999,13301,,273,,,,,275,12766,11938,278,,,,,,290,,2017-07-24
11696,320,12253,13145,13492,,292,,,,,295,13137,12038,290,,,,,,303,,2017-07-31
11891,328,12697,13401,13519,,305,,,,,310,13841,12200,303,,,,,,308,,2017-08-07
12226,345,13033,13482,13960,,325,,,,,327,14104,12366,320,,,,,,330,,2017-08-14
12256,355,13535,13638,15507,,330,,,,,336,14648,13013,329,,,,,,340,,2017-08-21
12924,358,14841,14904,16541,,333,,,,,339,15876,14149,332,,,,,,340,,2017-08-28
13529,356,15142,15177,16341,,330,,,,,336,16179,14285,330,,,,,,353,,2017-09-04
13732,356,15267,15466,16411,,331,,,,,339,16271,14533,327,,,,,,352,,2017-09-11
14888,352,15732,16078,17060,,326,,,,,336,16676,15355,315,,,,,,352,,2017-09-18
15634,330,16167,16597,17450,,305,,,,,321,17238,15692,305,,,,,,352,,2017-09-25
15517,305,16221,16696,17386,,280,,,,,290,17228,15692,265,,,,,,345,,2017-10-02
15386,300,16257,16546,17575,,275,,,,,285,17167,15697,260,,,,,,325,,2017-10-09
15201,307,16006,16804,17256,,280,,,,,290,16933,16029,265,,,,,,325,,2017-10-16
15301,303,15961,16719,17141,,285,,,,,286,16898,15815,261,,,,,,323,,2017-10-23
14522,302,15416,16126,16555,,273,,,,,286,16484,15028,261,,,,,,323,,2017-10-30
14274,309,14958,15713,16255,,279,,,,,290,16141,14445,265,,,,,,323,,2017-11-06
14146,304,14552,15601,16093,,275,,,,,283,15769,14316,260,,,,,,330,,2017-11-13
14170,310,14246,15328,15222,,277,,,,,293,15327,13691,266,,,,,,330,,2017-11-20
14017,315,13932,15192,15389,,285,,,,,296,14970,13724,272,,,,,,340,,2017-11-27
14013,329,13758,15040,15415,,301,,,,,300,14882,13599,270,,,,,,345,,2017-12-04
13972,345,13604,15028,15320,,320,,,,,315,14759,13580,285,,,,,,355,,2017-12-11
13918,352,13605,15024,15321,,320,,,,,317,14768,13632,295,,,,,,355,,2017-12-18
14052,360,13567,14803,15297,,333,,,,,335,14722,13502,315,,,,,,380,,2017-12-25
14322,365,13550,14844,15154,,335,,,,,340,14666,13606,320,,,,,,385,,2018-01-01
14088,370,13424,14727,14898,,340,,,,,345,14478,13583,320,,,,,,390,,2018-01-08
14081,372,13461,14888,14887,,340,,,,,345,14604,13598,325,,,,,,380,,2018-01-15
14367,360,13544,14965,14846,,330,,,,,338,14700,13641,317,,,,,,380,,2018-01-22
14359,353,13498,14927,15065,,325,,,,,330,14810,13594,312,,,,,,360,,2018-01-29
14347,348,13826,15211,14993,,317,,,,,318,15065,13917,300,,,,,,360,,2018-02-05
14166,348,14201,15139,14826,,317,,,,,320,15431,13967,300,,,,,,350,,2018-02-12
14583,353,14413,15390,14967,,322,,,,,325,15618,14272,303,,,,,,350,,2018-02-19
14657,358,14665,15580,15240,,320,,,,,335,15976,14739,305,,,,,,375,,2018-02-26
14965,364,15231,15836,15496,,326,,,,,337,16356,15040,315,,,,,,385,,2018-03-05
15567,375,15612,16001,15536,,335,,,,,350,16731,15040,325,,,,,,400,,2018-03-12
15440,374,15775,16421,16989,,335,,,,,350,17007,15271,325,,,,,,405,,2018-03-19
15583,370,16100,16692,17904,,333,,,,,350,17211,15404,323,,,,,,405,,2018-03-26
15729,366,16612,16921,18226,,333,,,,,350,17710,16012,322,,,,,,395,,2018-04-02
15925,356,17000,17321,18965,,330,,,,,345,17974,16221,317,,,,,,375,,2018-04-09
15954,354,16988,17409,18828,,329,,,,,343,17992,16346,314,,,,,,375,,2018-04-16
16016,345,17036,17567,18827,,320,,,,,330,17939,16544,303,,,,,,375,,2018-04-23
16159,350,16988,17628,18772,,325,,,,,335,17862,16374,308,,,,,,360,,2018-04-30
16135,354,16856,17642,18781,,325,,,,,327,17790,16330,314,,,,,,360,,2018-05-07
16218,358,16787,17623,18581,,325,,,,,327,17681,16412,314,,,,,,365,,2018-05-14
16191,349,16674,17570,18147,,318,,,,,327,17703,16395,310,,,,,,365,,2018-05-21
16155,341,16597,17518,17797,,312,,,,,327,17678,16394,303,,,,,,365,,2018-05-28
16170,333,16544,17571,17669,,305,,,,,320,17702,16468,295,,,,,,360,,2018-06-04
16432,340,16362,17543,17475,,312,,,,,320,17499,16515,308,,,,,,355,,2018-06-11
16604,348,16346,17369,17846,,320,,,,,325,17479,16337,320,,,,,,357,,2018-06-18
16492,354,16108,17325,17994,,326,,,,,333,17279,16180,325,,,,,,357,,2018-06-25
16331,354,15923,17195,17826,,326,,,,,333,17161,15945,324,,,,,,357,,2018-07-02
16070,350,15963,17273,18064,,323,,,,,333,17153,15922,321,,,,,,357,,2018-07-09
16424,341,16200,17405,18071,,314,,,,,323,17428,16101,311,,,,,,357,,2018-07-16
16531,339,16413,17443,18134,,312,,,,,323,17657,16133,305,,,,,,355,,2018-07-23
16630,335,16515,17473,18380,,309,,,,,320,17752,16194,298,,,,,,355,,2018-07-30
16711,330,16721,17546,18412,,305,,,,,317,17956,16283,303,,,,,,350,,2018-08-06
16881,323,16914,17588,18665,,299,,,,,305,18143,16515,288,,,,,,350,,2018-08-13
16935,310,16967,17649,18747,,287,,,,,287,18228,16773,263,,,,,,350,,2018-08-20
16914,297,17247,17663,18675,,274,,,,,279,18522,16810,279,,,,,,350,,2018-08-27
17490,310,17608,18397,18833,,285,,,,,285,18821,17329,284,,,,,,343,,2018-09-03
17636,317,17924,18508,19051,,295,,,,,295,19185,17601,284,,,,,,343,,2018-09-10
17737,319,18322,18833,19289,,295,,,,,297,19615,17962,292,,,,,,343,,2018-09-17
17768,324,18517,18994,19542,,300,,,,,297,19773,18212,292,,,,,,343,,2018-09-24
17783,321,18596,19016,19529,,296,,,,,296,19870,18222,292,,,,,,355,,2018-10-01
17906,325,18596,18987,19477,,300,,,,,299,19853,18304,292,,,,,,360,,2018-10-08
17983,328,18594,19007,19496,,303,,,,,303,19794,18271,293,,,,,,360,,2018-10-15
17900,328,18465,19020,19509,,301,,,,,304,19731,18245,295,,,,,,360,,2018-10-22
17965,331,18401,18894,19607,,303,,,,,305,19677,18048,297,,,,,,357,,2018-10-29
17937,337,17969,19000,19495,,306,,,,,315,19243,18062,297,,,,,,357,,2018-11-05
17792,338,17748,18718,19135,,310,,,,,315,18834,17624,305,,,,,,357,,2018-11-12
17406,336,17158,18294,18630,,308,,,,,313,18308,17113,306,,,,,,352,,2018-11-19
17247,329,16667,17864,18130,,304,,,,,310,17830,16588,292,,,,,,347,,2018-11-26
16766,318,16142,17434,17631,,295,,,,,307,17333,16123,286,,,,,,336,,2018-12-03
16774,309,15632,17120,17068,,278,,,,,289,16881,15754,276,,,,,,332,,2018-12-10
17160,301,15444,16458,17345,,278,,,,,280,16698,15150,275,,,,,,322,,2018-12-17
17172,292,15545,16414,17312,,271,,,,,269,16810,15326,255,,,,,,323,,2018-12-24
17056,290,15548,16535,17242,,265,,,,,269,16899,15405,252,,,,,,315,,2018-12-31
16932,280,15531,16513,16649,,255,,,,,259,16848,15305,245,,,,,,310,,2019-01-07
17170,277,15523,16568,16498,,255,,,,,260,16937,15356,235,,,,,,310,,2019-01-14
16684,285,15489,16496,16455,,270,,,,,269,16858,15243,246,,,,,,301,,2019-01-21
16520,295,15505,16529,16748,,270,,,,,273,16927,15266,262,,,,,,301,,2019-01-28
16773,309,16136,16787,18261,,291,,,,,295,17458,15912,283,,,,,,322,,2019-02-04
16780,329,16556,17406,18567,,305,,,,,315,17817,16196,290,,,,,,327,,2019-02-11
16842,327,16700,17699,18541,,303,,,,,316,17948,16600,293,,,,,,327,,2019-02-18
16898,320,17486,18291,19142,,295,,,,,316,18686,17442,285,,,,,,330,,2019-02-25
17333,310,18094,18852,20030,,285,,,,,300,18848,17967,275,,,,,,325,,2019-03-04
18006,320,18587,19808,20701,,293,,,,,302,19328,18920,287,,,,,,335,,2019-03-11
18119,323,19010,19902,20774,,295,,,,,305,19902,18915,287,,,,,,340,,2019-03-18
18421,323,18545,19961,20741,,295,,,,,305,19600,18922,287,,,,,,345,,2019-03-25
18699,319,18241,19560,20442,,292,,,,,302,19208,18494,287,,,,,,340,,2019-04-01
18208,313,17151,19078,19304,,287,,,,,296,18445,17493,282,,,,,,335,,2019-04-08
17972,306,16903,18488,18955,,280,,,,,288,18201,16886,275,,,,,,335,,2019-04-15
