scrap_3a_siberia_rub_tonn_train_cpt,scrap_hms_turkey_dollar_tonn_ship_cfr,scrap_3a_russia_moscow_rub_tonn_train_fca,scrap_3a_russia_ural_rub_tonn_ship_cpt,scrap_3a_south_rub_tonn_train_cpt,scrap_3a_russia_south_rub_tonn_auto_cpt,scrap_hms_rotterdam_dollar_tonn_ship_fob,scrap_3a_russia_central_rub_tonn_ship_fca,scrap_3a_russia_central_rub_tonn_ship_fca,scrap_3a_russia_ural_rub_tonn_auto_cpt,scrap_3a_russia_siberia_rub_tonn_train_fca,scrap_hms_usa_dollar_tonn_ship_fob,scrap_3a_central_rub_tonn_train_cpt,scrap_3a_russia_tatar_rub_tonn_fca,scrap_3a_russia_south_dollar_tonn_ship_fob,scrap_3a_russia_ural_rub_tonn_ship_fca,scrap_3a_russia_ural_rub_tonn_ship_fca,scrap_3a_russia_siberia_rub_tonn_ship_fca,scrap_3a_russia_north_rub_tonn_ship_fca,scrap_3a_russia_central_rub_tonn_auto_cpt,scrap_hms_uva_dollar_tonn_ship_cfr,scrap_b26_alloyed_russia_rub_tonn_ship_cpt,dt
17523,312,15685,17751,17491,,287,,,,,293,16985,16234,282,,,,,,335,,2019-04-22
17174,310,15349,17602,16696,,285,,,,,290,16652,16141,280,,,,,,315,,2019-04-29
16760,303,15287,17360,16724,,275,,,,,286,16530,16132,267,,,,,,315,,2019-05-06
16530,290,14933,16972,16045,,265,,,,,275,16116,15699,260,,,,,,310,,2019-05-13
16563,294,14867,16812,15682,,269,,,,,279,16074,15236,258,,,,,,305,,2019-05-20
16108,310,14811,16438,15669,,285,,,,,292,16044,14890,275,,,,,,305,,2019-05-27
15793,303,14686,16118,15554,,280,,,,,290,15921,14391,272,,,,,,310,,2019-06-03
15500,298,14176,16094,15391,,282,,,,,290,15636,14449,273,,,,,,311,,2019-06-10
15530,290,14097,16051,15565,,270,,,,,275,15632,14449,259,,,,,,305,,2019-06-17
15578,279,14371,16142,15525,,256,,,,,265,15636,14821,250,,,,,,305,,2019-06-24
15608,285,15299,16404,15670,,260,,,,,268,16431,14991,257,,,,,,300,,2019-07-01
15678,298,15474,17049,16603,,274,,,,,278,16626,15294,268,,,,,,305,,2019-07-08
15866,295,15935,17411,17730,,270,,,,,275,17132,15883,265,,,,,,305,,2019-07-15
15882,294,16282,17571,17843,,269,,,,,273,17509,16238,265,,,,,,305,,2019-07-22
15926,294,16320,17543,18359,,269,,,,,273,17591,16254,265,,,,,,305,,2019-07-29
15712,292,16334,17583,18523,,270,,,,,273,17521,16227,265,,,,,,305,,2019-08-05
15744,289,16266,17545,18634,,268,,,,,269,17370,16074,265,,,,,,304,,2019-08-12
15766,284,16078,17508,18262,,260,,,,,269,17177,15747,260,,,,,,304,,2019-08-19
15722,279,15756,17437,17569,,250,,,,,260,16854,15613,255,,,,,,304,,2019-08-26
15773,270,15686,17344,17403,,242,,,,,246,16883,15599,245,,,,,,295,,2019-09-02
15924,253,14959,16472,16385,,225,,,,,228,16311,14776,226,,,,,,292,,2019-09-09
15953,240,14702,16391,16427,,213,,,,,215,15958,14739,212,,,,,,277,,2019-09-16
15702,233,14403,16172,15921,,205,,,,,208,15813,14498,200,,,,,,260,,2019-09-23
15270,225,13765,16068,15688,,199,,,,,200,15198,14144,192,,,,,,258,,2019-09-30
14832,227,13447,15566,14825,,199,,,,,201,14905,13578,194,,,,,,245,,2019-10-07
14919,233,13274,15105,14292,,207,,,,,208,14432,13267,204,,,,,,242,,2019-10-14
14844,241,13166,14668,14245,,216,,,,,218,14326,13033,210,,,,,,242,,2019-10-21
14479,250,13172,14573,14262,,225,,,,,230,14252,12908,220,,,,,,248,,2019-10-28
12937,255,12878,13581,14426,,230,,,,,232,14110,12181,225,,,,,,258,,2019-11-04
13058,260,12702,13494,14709,,238,,,,,240,13839,12469,231,,,,,,265,,2019-11-11
12845,261,12713,13513,14477,,240,,,,,242,13893,12563,233,,,,,,270,,2019-11-18
12149,262,13100,13559,14627,,239,,,,,246,14167,12840,235,,,,,,275,,2019-11-25
12756,266,13370,14161,15019,,245,,,,,245,14373,13215,239,,,,,,275,,2019-12-02
13388,285,13563,14638,15266,,260,,,,,257,14614,13679,255,,,,,,282,,2019-12-09
13225,297,13941,14791,15468,,272,,,,,275,15274,13801,268,,,,,,295,,2019-12-16
13391,299,14059,14749,15532,,275,,,,,276,15385,14168,271,,,,,,297,,2019-12-23
13431,301,14606,15224,15842,,277,,,,,276,15907,14352,272,,,,,,297,,2019-12-30
13453,301,14626,15438,15907,,276,,,,,276,16047,14417,272,,,,,,299,,2020-01-06
14164,299,15066,15620,16361,,275,,,,,275,16626,14506,270,,,,,,299,,2020-01-13
14035,295,15470,15893,16475,,270,,,,,271,16876,14711,265,,,,,,299,,2020-01-20
13893,280,15556,16421,16693,,257,,,,,260,16845,14916,250,,,,,,289,,2020-01-27
13993,270,15530,17040,17038,,248,,,,,252,16833,15438,240,,,,,,285,,2020-02-03
14620,260,15392,17561,17340,,240,,,,,240,16684,15862,228,,,,,,270,,2020-02-10
14780,272,15454,17637,17062,,251,,,,,252,16908,16058,240,,,,,,260,,2020-02-17
14756,280,14937,17536,16714,,258,,,,,260,15983,15539,247,,,,,,275,,2020-02-24
14590,278,15025,17115,17056,,255,,,,,260,15608,15349,245,,,,,,275,,2020-03-02
14154,273,14061,16936,15306,,249,,,,,254,14832,15082,243,,,,,,270,,2020-03-09
14186,270,13672,16367,15441,,245,,,,,250,15153,14217,240,,,,,,265,,2020-03-16
13993,245,13896,15754,15189,,222,,,,,226,15266,13986,215,,,,,,257,,2020-03-23
13959,215,13758,15563,15112,,199,,,,,195,15124,13846,188,,,,,,240,,2020-03-30
13902,210,13464,15516,15119,,190,,,,,192,14716,13533,190,,,,,,233,,2020-04-06
13849,245,13324,15812,15003,,230,,,,,230,14683,13867,225,,,,,,233,,2020-04-13
13923,256,13414,16073,15407,,242,,,,,244,14833,13981,232,,,,,,250,,2020-04-20
14469,255,14229,16684,16149,,241,,,,,245,15546,14608,232,,,,,,250,,2020-04-27
14213,240,14625,16986,16327,,230,,,,,225,15853,14859,220,,,,,,250,,2020-05-04
14244,242,14627,17013,16247,,230,,,,,232,15923,14831,220,,,,,,250,,2020-05-11
14045,250,14370,16514,16133,,235,,,,,240,15705,14370,225,,,,,,255,,2020-05-18
13994,250,13642,15486,14983,,235,,,,,240,14946,13578,220,,,,,,252,,2020-05-25
13739,253,13257,14911,14834,,238,,,,,241,14631,13058,225,,,,,,255,,2020-06-01
13629,258,13091,14185,14309,,243,,,,,247,14467,12702,230,,,,,,260,,2020-06-08
13702,265,13162,13844,14363,,250,,,,,253,14523,12777,236,,,,,,270,,2020-06-15
13394,264,13613,13687,15019,,245,,,,,250,14771,13367,235,,,,,,281,,2020-06-22
13549,257,14018,14474,15611,,237,,,,,244,15210,13917,230,,,,,,265,,2020-06-29
13680,255,14232,14956,16135,,235,,,,,244,15502,14252,230,,,,,,257,,2020-07-06
13891,255,14462,15346,16093,,233,,,,,241,15694,14385,230,,,,,,257,,2020-07-13
14243,259,14664,16007,16450,,236,,,,,239,15809,14749,235,,,,,,257,,2020-07-20
14357,269,14979,16443,16575,,245,,,,,248,16100,15036,245,,,,,,267,,2020-07-27
14364,277,15362,16775,17052,,255,,,,,256,16548,15399,252,,,,,,273,,2020-08-03
14462,283,15826,17173,17468,,264,,,,,263,16807,15815,257,,,,,,278,,2020-08-10
14797,285,16267,17596,17434,,266,,,,,264,17205,16070,259,,,,,,293,,2020-08-17
15637,282,16626,17907,17836,,261,,,,,263,17550,16335,253,,,,,,305,,2020-08-24
15744,288,16583,18075,17989,,265,,,,,267,17534,16380,260,,,,,,308,,2020-08-31
16233,298,16595,18417,17983,,275,,,,,278,17520,16554,270,,,,,,310,,2020-09-07
16547,301,16887,18961,18039,,280,,,,,282,17869,17172,276,,,,,,314,,2020-09-14
16672,296,17320,19405,19027,,273,,,,,282,18270,17817,273,,,,,,314,,2020-09-21
17257,295,17687,19591,19507,,272,,,,,283,18706,18220,273,,,,,,305,,2020-09-28
17768,290,17962,19934,19744,,265,,,,,275,18923,18492,266,,,,,,305,,2020-10-05
17982,285,18201,20070,19928,,260,,,,,265,19099,18681,260,,,,,,302,,2020-10-12
17973,286,18148,20070,19716,,260,,,,,266,19062,18466,260,,,,,,301,,2020-10-19
18031,290,18044,20063,19708,,264,,,,,270,18857,18526,262,,,,,,301,,2020-10-26
18089,292,18080,20215,19823,,265,,,,,272,18906,18742,264,,,,,,303,,2020-11-02
18438,296,18508,20562,20125,,269,,,,,277,19351,19029,266,,,,,,308,,2020-11-09
18723,310,18760,20650,20199,,281,,,,,291,19672,19116,280,,,,,,325,,2020-11-16
19062,330,19154,20966,20488,,303,,,,,310,20073,19331,300,,,,,,335,,2020-11-23
18927,350,19729,21348,21016,,322,,,,,320,20698,19632,315,,,,,,340,,2020-11-30
19187,360,20457,21786,21464,,330,,,,,340,21376,20299,320,,,,,,380,,2020-12-07
19772,400,21690,22629,22924,,372,,,,,380,22459,21377,365,,,,,,390,,2020-12-14
20725,440,23142,23676,24467,,415,,,,,418,23828,22925,405,,,,,,455,,2020-12-21
22224,470,25395,25382,26167,,442,,,,,447,26123,24565,433,,,,,,475,,2020-12-28
23365,477,26802,27156,27485,,450,,,,,454,27402,26082,440,,,,,,475,,2021-01-04
23572,480,27134,27967,27884,,455,,,,,457,28007,26461,443,,,,,,480,,2021-01-11
24195,465,27297,27545,27893,,440,,,,,445,28134,26348,428,,,,,,480,,2021-01-18
25479,440,27647,27983,28573,,410,,,,,414,28415,27178,403,,,,,,455,,2021-01-25
25579,415,27662,28246,28416,,380,,,,,392,28503,27494,380,,,,,,417,,2021-02-01
25285,398,27102,28177,28187,,366,,,,,370,28002,27253,363,,,,,,397,,2021-02-08
24914,407,25834,27643,26751,,375,,,,,375,26993,26000,370,,,,,,415,,2021-02-15
24774,418,24638,27158,25897,,387,,,,,388,25779,25440,380,,,,,,440,,2021-02-22
24850,445,24653,27240,26494,,415,,,,,417,25524,25314,410,,,,,,445,,2021-03-01
25336,460,25029,27254,26694,,425,,,,,425,26096,26011,422,,,,,,460,,2021-03-08
26291,445,25843,27738,26961,,405,,,,,412,26877,26177,407,,,,,,460,,2021-03-15
26498,427,26670,28137,27526,,390,,,,,400,27680,26624,390,,,,,,434,,2021-03-22
27172,417,27585,28832,28225,,382,,,,,393,28656,27371,380,,,,,,438,,2021-03-29
27524,428,27967,29311,28804,,393,,,,,400,28998,27728,390,,,,,,442,,2021-04-05
27737,431,27727,29418,28948,,398,,,,,407,28730,27676,392,,,,,,455,,2021-04-12
27700,428,27434,29405,28798,,395,,,,,405,28318,27420,388,,,,,,460,,2021-04-19
27709,425,26981,29309,28571,,395,,,,,407,27879,27481,388,,,,,,456,,2021-04-26
27722,438,26450,29031,28138,,405,,,,,415,27484,27325,400,,,,,,466,,2021-05-03
27700,470,26104,28821,27905,,437,,,,,445,27155,27092,432,,,,,,471,,2021-05-10
27883,503,26160,29010,27865,,471,,,,,480,27257,27165,467,,,,,,525,,2021-05-17
28571,507,26709,29303,28524,,473,,,,,482,27865,27588,470,,,,,,535,,2021-05-24
28883,510,27659,29809,29326,,475,,,,,483,28807,28134,475,,,,,,518,,2021-05-31
28805,503,28162,30160,29672,,468,,,,,478,29278,28352,468,,,,,,508,,2021-06-07
28242,504,28260,30148,29561,,469,,,,,475,29330,28373,469,,,,,,515,,2021-06-14
27722,500,28003,30128,29375,,463,,,,,461,29190,28202,465,,,,,,515,,2021-06-21
26673,497,27679,30111,29065,,457,,,,,459,28969,27807,462,,,,,,513,,2021-06-28
25813,498,26892,29662,27776,,456,,,,,459,27889,26924,460,,,,,,518,,2021-07-05
25816,496,25966,28463,26909,,453,,,,,457,27063,26257,458,,,,,,518,,2021-07-12
25855,486,24734,27589,26080,,441,,,,,448,25804,25358,448,,,,,,508,,2021-07-19
24580,480,24714,26726,26272,,437,,,,,445,26161,24725,440,,,,,,508,,2021-07-26
23645,472,25089,26656,26890,,430,,,,,439,26351,24886,427,,,,,,503,,2021-08-02
24491,464,25589,26812,27101,,424,,,,,424,26706,25215,417,,,,,,500,,2021-08-09
24489,457,26472,26824,27849,,415,,,,,421,27356,25672,410,,,,,,495,,2021-08-16
24136,452,26514,26890,27941,,410,,,,,415,27394,26077,400,,,,,,500,,2021-08-23
24175,448,26654,26960,28185,,406,,,,,413,27420,25998,396,,,,,,500,,2021-08-30
24250,446,26541,27339,28241,,405,,,,,413,27418,25879,394,,,,,,483,,2021-09-06
24106,443,26413,27259,28233,,401,,,,,409,27219,25793,390,,,,,,483,,2021-09-13
24607,439,26108,26988,27854,,392,,,,,405,26724,25523,386,,,,,,498,,2021-09-20
24138,438,25488,26703,27166,,388,,,,,401,26251,25059,386,,,,,,500,,2021-09-27
23908,435,25050,26496,26784,,385,,,,,398,25750,24722,386,,,,,,500,,2021-10-04
24028,449,24896,26474,26523,,397,,,,,410,25604,24681,402,,,,,,508,,2021-10-11
24275,480,24515,26537,26086,,427,,,,,436,25157,24534,432,,,,,,528,,2021-10-18
24629,500,25359,27467,26593,,448,,,,,450,25936,25363,451,,,,,,544,,2021-10-25
24737,501,26592,28334,27708,,446,,,,,450,27341,26648,450,,,,,,550,,2021-11-01
24893,497,27446,28778,28831,,441,,,,,453,28389,27498,446,,,,,,541,,2021-11-08
25638,499,28100,29351,29339,,445,,,,,456,28841,28006,446,,,,,,528,,2021-11-15
25790,498,29015,30195,30104,,443,,,,,458,29662,28584,444,,,,,,528,,2021-11-22
26133,492,29906,30842,30914,,438,,,,,453,30376,29414,438,,,,,,530,,2021-11-29
26178,484,30184,31083,31202,,430,,,,,445,30713,29724,428,,,,,,530,,2021-12-06
26031,471,29578,30275,30750,,417,,,,,431,30050,28958,415,,,,,,528,,2021-12-13
25299,467,28862,29555,29870,,414,,,,,425,29447,28299,410,,,,,,520,,2021-12-20
24741,461,28419,29024,29631,,416,,,,,422,28941,27848,413,,,,,,512,,2021-12-27
24326,463,27969,28407,29121,,418,,,,,424,28566,27215,415,,,,,,500,,2022-01-03
24255,465,27830,28802,28826,28000.0,419,,,27950.0,,425,28615,26977,416,,,,,27450.0,500,,2022-01-10
25878,471,27934,28622,29086,27650.0,430,,,27950.0,,440,28751,27257,425,,,,,27450.0,510,,2022-01-17
25949,470,27651,28389,28955,27650.0,430,,,27950.0,,435,28321,27140,425,,,,,26950.0,518,,2022-01-24
25683,470,27972,28807,29396,29500.0,429,,,28150.0,,438,28816,27624,425,,,,,26950.0,530,,2022-01-31
26372,490,29440,30078,30752,29500.0,450,,,28350.0,,462,30282,28859,445,,,,,29300.0,535,,2022-02-07
27970,503,30598,31458,32114,30500.0,464,,,29800.0,,474,31346,29977,458,,,,,30300.0,555,,2022-02-14
28335,506,31407,32417,32898,32000.0,466,,,30850.0,,477,32085,30930,460,,,,,30600.0,560,,2022-02-21
28968,509,32437,33208,33913,32600.0,469,,,31100.0,,477,33041,31875,460,,,,,31450.0,568,,2022-02-28
31048,567,32619,34466,35186,32550.0,524,,,31500.0,,534,34263,32402,497,,,,,31100.0,575,,2022-03-07
31137,648,30755,33349,32835,30400.0,604,,,30000.0,,610,32912,31181,578,,,,,27350.0,598,,2022-03-14
27892,658,28469,30238,29971,28900.0,614,,,28750.0,,619,29736,28228,588,,,,,27250.0,640,,2022-03-21
27476,657,26492,28568,27675,27750.0,610,,,26950.0,,612,27559,26485,587,,,,,25100.0,658,,2022-03-28
26778,654,25648,27411,26916,27750.0,605,,,25600.0,,610,26627,25185,584,,,,,24100.0,650,,2022-04-04
25966,653,24910,27074,26208,27750.0,603,,,25150.0,,611,25989,24659,583,,,,,24250.0,637,,2022-04-11
26986,645,25607,27984,26943,28100.0,595,,,25400.0,,604,26719,25352,575,,,,,25350.0,622,,2022-04-18
28925,617,28030,30202,29731,28050.0,566,,,27400.0,,577,28891,28254,547,,,,,27500.0,610,,2022-04-25
29737,562,29767,32061,31615,28050.0,512,,,29400.0,,512,30427,31376,492,,,,,29750.0,585,,2022-05-02
29951,537,30523,32880,32249,29500.0,487,,,29400.0,,488,31017,31982,467,,,,,29750.0,550,,2022-05-09
28736,495,30082,32910,31462,29000.0,445,,,28400.0,,443,30791,31548,425,,,,,28000.0,525,,2022-05-16
26720,469,27356,30626,29099,24950.0,417,,,27200.0,,418,28480,29528,415,,,,,21250.0,510,,2022-05-23
23317,461,21574,25964,23603,21100.0,412,,,17950.0,,415,21615,23798,411,,,,,20250.0,500,,2022-05-30
19757,440,19499,23137,21843,18600.0,396,,,16800.0,,391,20122,18829,390,,,,,17200.0,497,,2022-06-06
17185,424,17655,21258,20112,18600.0,381,,,16800.0,,381,18736,18445,374,,,,,16700.0,490,,2022-06-13
16334,378,16963,20827,18343,17650.0,339,,,16800.0,,340,18221,17335,333,,,,,16200.0,453,,2022-06-20
15790,337,16514,20230,18306,17150.0,297,,,16800.0,,309,17846,17107,292,,,,,16200.0,403,,2022-06-27
16063,343,16006,19477,18054,16500.0,303,,,16550.0,,311,17223,17134,298,,,,,15700.0,378,,2022-07-04
15297,398,15790,19166,18268,17250.0,356,,,17550.0,,366,17148,16544,353,,,,,16200.0,383,,2022-07-11
16673,409,16212,19955,20207,19200.0,370,,,17550.0,,371,18308,17103,364,,,,,16700.0,395,,2022-07-18
16962,387,17776,20489,21962,22400.0,348,,,17450.0,,349,20147,18040,342,,,,,17500.0,390,,2022-07-25
17547,355,19730,22020,23751,23300.0,317,,,19350.0,,319,21835,19731,310,,,,,20850.0,380,,2022-08-01
21195,360,21650,24183,25568,23050.0,321,,,20200.0,,325,23534,22180,315,,,,,22350.0,370,,2022-08-08
21461,395,22016,24832,26015,23300.0,357,,,21250.0,,362,23841,22858,350,,,,,22350.0,385,,2022-08-15
21510,398,22324,24946,25881,23300.0,361,,,21250.0,,366,24239,22884,353,,,,,22750.0,395,,2022-08-22
21069,401,22250,24924,25793,22350.0,363,,,21250.0,,370,24231,22530,356,,,,,22650.0,420,,2022-08-29
20920,396,21498,24665,24677,22350.0,359,,,21250.0,,368,23357,22383,351,,,,,22150.0,440,,2022-09-05
21739,373,21004,24300,24588,21850.0,339,,,21000.0,,342,22647,21766,328,,,,,22000.0,415,,2022-09-12
21481,350,20865,24178,24568,21700.0,316,,,21000.0,,322,22518,21340,305,,,,,21850.0,390,,2022-09-19
21353,351,20763,24155,24349,21700.0,316,,,20800.0,,322,22726,21207,292,,,,,21850.0,385,,2022-09-26
20719,368,20652,24239,24524,21550.0,333,,,20800.0,,338,22719,21294,309,,,,,21750.0,395,,2022-10-03
21040,370,20551,24246,24418,21300.0,334,,,20800.0,,340,22662,21285,311,,,,,21750.0,405,,2022-10-10
21198,371,20338,24176,24277,21300.0,332,,,20800.0,,336,22585,21123,312,,,,,21750.0,405,,2022-10-17
21680,365,20665,24203,24351,21300.0,325,,,20800.0,,328,22558,21143,306,,,,,21600.0,405,,2022-10-24
22246,359,20021,23860,23600,20900.0,318,,,20650.0,,323,22220,20740,300,,,,,20800.0,405,,2022-10-31
21998,354,18986,22976,22248,20350.0,313,,,20400.0,,320,21481,20630,265,,,,,20050.0,394,,2022-11-07
20982,346,18023,21898,21319,19350.0,307,,,19550.0,,313,20399,18825,257,,,,,19050.0,378,,2022-11-14
21124,338,17733,21532,21096,18350.0,301,,,19300.0,,306,19835,18403,259,,,,,18300.0,368,,2022-11-21
19842,347,17629,21227,20975,18100.0,312,,,19050.0,,313,19843,18069,271,,,,,17900.0,350,,2022-11-28
18801,370,17000,20770,20253,17350.0,336,,,18750.0,,340,19746,17981,297,,,,,17750.0,350,,2022-12-05
17332,384,16939,20444,20174,17350.0,352,,,18500.0,,354,19435,17668,311,,,,,17750.0,366,,2022-12-12
17727,387,16962,20072,19973,17350.0,356,,,18250.0,,358,19341,17384,312,,,,,17750.0,405,,2022-12-19
18031,386,16999,19730,19988,17350.0,355,,,18250.0,,356,19386,17035,311,,,,,17950.0,400,,2022-12-26
17705,395,17045,19743,20090,17350.0,368,,,18700.0,,367,19412,17009,320,,,,,18500.0,402,,2023-01-02
20344,413,17360,20566,20700,18850.0,383,16993.0,0.0,18750.0,15800.0,387,19581,16537,338,19400.0,18353.0,0.0,16566.0,18500.0,402,90000.0,2023-01-09
19028,417,18415,20764,21951,19650.0,388,18450.0,0.0,19500.0,0.0,395,20288,18012,347,19400.0,18498.0,13660.0,0.0,19200.0,425,90000.0,2023-01-16
18750,406,19702,21449,23307,20650.0,377,19465.0,19220.0,19850.0,16000.0,385,21626,19384,336,20100.0,19221.0,16366.0,18000.0,19950.0,440,95000.0,2023-01-23
21524,413,21036,22424,24553,21800.0,384,21122.0,20643.0,20850.0,16785.0,393,23110,20519,343,21048.0,20044.0,17480.0,18450.0,21950.0,435,100000.0,2023-01-30
22311,424,21794,23780,25587,22050.0,395,21404.0,21341.0,22750.0,18338.0,404,23784,21336,359,22006.0,21938.0,18030.0,19916.0,22300.0,435,100000.0,2023-02-06
23774,428,22058,24807,25741,22050.0,399,21844.0,22009.0,23500.0,19944.0,409,24100,22626,363,23160.0,22765.0,19331.0,20439.0,22600.0,446,100000.0,2023-02-13
24060,419,22134,25635,25837,22050.0,390,21703.0,22716.0,24300.0,20331.0,400,24184,23297,354,24038.0,23414.0,21256.0,21181.0,22550.0,443,102000.0,2023-02-20
24275,440,22039,26010,25814,22050.0,411,21665.0,22608.0,23750.0,20417.0,422,24047,23404,375,24193.0,24014.0,21599.0,21552.0,22400.0,443,102000.0,2023-02-27
25347,452,22056,26555,25821,23500.0,422,22054.0,22618.0,24250.0,21555.0,430,24055,24078,387,24310.0,24005.0,22101.0,21794.0,22450.0,448,100000.0,2023-03-06
25313,458,23004,27052,26750,23900.0,426,22832.0,23093.0,24500.0,21921.0,434,25021,24550,393,24926.0,24573.0,22392.0,22434.0,23350.0,453,100000.0,2023-03-13
